,CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
458,'R' BUDDY LIMITED,08222874,,,SHERINGHS HOUSE,PARK HOUSE LANE,SHEFFIELD,,,S9 1XA,Private Limited Company,Active,United Kingdom,,20/09/2012,30.0,9.0,30/06/2025,30/09/2023,TOTAL EXEMPTION FULL,18/10/2016,20/09/2015,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08222874,,,,,,,,,,,,,,,,,,,,,06/03/2025,20/02/2024
678,+ME POSITIVE ABOUT CHANGE,06772710,,,THE CIRCLE,ROCKINGHAM LANE,SHEFFIELD,,ENGLAND,S1 4FW,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,15/12/2008,31.0,3.0,31/12/2025,31/03/2024,TOTAL EXEMPTION FULL,12/01/2017,15/12/2015,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/06772710,,,,,,,,,,,,,,,,,,,,,13/11/2025,30/10/2024
734,.N.S COURIERS NMM LTD,15067915,,,572 ARBOURTHORNE ROAD,,SHEFFIELD,,ENGLAND,S2 2AS,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,13/08/2023,31.0,8.0,13/05/2025,,NO ACCOUNTS FILED,10/09/2024,,0,0,0,0,46180 - Agents specialized in the sale of other particular products,,,,0,0,http://business.data.gov.uk/id/company/15067915,,,,,,,,,,,,,,,,,,,,,26/08/2024,
896,00150707 LIMITED,00150707,,,ALBION WORKS,SAVILE STREET,SHEFFIELD,,,S4 7UL,Private Limited Company,Liquidation,United Kingdom,,12/06/1918,31.0,3.0,31/01/2003,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/00150707,08/02/2019,CLAYTON AND SHUTTLEWORTH LIMITED,,,,,,,,,,,,,,,,,,,,
1377,0114 HOME IMPROVEMENTS LTD,15061163,,,11 LOXLEY VIEW ROAD,,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S10 1QY,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,09/08/2023,31.0,8.0,09/05/2025,,NO ACCOUNTS FILED,06/09/2024,,0,0,0,0,43999 - Other specialised construction activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15061163,,,,,,,,,,,,,,,,,,,,,22/08/2024,
1378,0114 LIMITED,11787801,,,THE CIRCLE,33 ROCKINGHAM LANE,SHEFFIELD,,ENGLAND,S1 4FW,Private Limited Company,Active,United Kingdom,,25/01/2019,31.0,1.0,31/10/2025,31/01/2024,DORMANT,22/02/2020,,0,0,0,0,90030 - Artistic creation,,,,0,0,http://business.data.gov.uk/id/company/11787801,,,,,,,,,,,,,,,,,,,,,07/02/2025,24/01/2024
1432,01344960 LIMITED,01344960,,,4TH FLOOR FOUNTAIN PRECINCT,LEOPOLD STREET,SHEFFIELD,,,S1 2JA,Private Limited Company,Liquidation,United Kingdom,,20/12/1977,31.0,12.0,30/09/2016,31/12/2014,TOTAL EXEMPTION SMALL,09/08/2016,12/07/2015,3,3,0,0,42990 - Construction of other civil engineering projects n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/01344960,22/05/2023,J.C. PLANT HIRE LIMITED,,,,,,,,,,,,,,,,,,,26/07/2016,
1488,01566455 LIMITED,01566455,,,93 QUEEN STREET,,SHEFFIELD,,,S1 1WF,Private Limited Company,Liquidation,United Kingdom,,05/06/1981,31.0,7.0,31/05/2009,31/07/2007,TOTAL EXEMPTION SMALL,01/01/2009,04/12/2007,0,0,0,0,4521 - Gen construction & civil engineer,,,,0,0,http://business.data.gov.uk/id/company/01566455,14/01/2020,HAMILTON CONSTRUCTION LIMITED,,,,,,,,,,,,,,,,,,,,
1535,01694946 LIMITED,01694946,,,KNOWLE HOUSE,4 NORFOLK PARK ROAD,SHEFFIELD,,,S2 3QE,Private Limited Company,Liquidation,United Kingdom,,27/01/1983,31.0,12.0,31/10/1995,31/12/1993,SMALL,09/08/1995,12/07/1994,3,2,0,1,2811 - Manufacture metal structures & parts,,,,0,0,http://business.data.gov.uk/id/company/01694946,11/07/2017,WEBSCO LIMITED,,,,,,,,,,,,,,,,,,,,
1555,01811480 LIMITED,01811480,,,WILSON FIELD THE MANOR HOUSE,260 ECCLESALL ROAD SOUTH,SHEFFIELD,,,S11 9PS,Private Limited Company,Liquidation,United Kingdom,,26/04/1984,30.0,11.0,31/08/2016,30/11/2014,TOTAL EXEMPTION SMALL,29/09/2016,01/09/2015,0,0,0,0,31010 - Manufacture of office and shop furniture,,,,0,0,http://business.data.gov.uk/id/company/01811480,05/05/2021,M. J. SQUIRE LIMITED,,,,,,,,,,,,,,,,,,,15/09/2016,
1574,01945695 LIMITED,01945695,,,93 QUEEN STREET,,SHEFFIELD,,,S1 1WF,Private Limited Company,Liquidation,United Kingdom,,09/09/1985,31.0,3.0,31/01/2008,31/03/2006,FULL,05/07/2008,07/06/2007,7,4,0,3,6312 - Storage & warehousing,,,,0,0,http://business.data.gov.uk/id/company/01945695,31/03/2016,R. C. S. (UK) LIMITED,,,,,,,,,,,,,,,,,,,21/06/2017,
1792,03395871 LIMITED,03395871,,,THE HART SHAW BUILDING EUROPA LINK,SHEFFIELD BUSINESS PARK,SHEFFIELD,,,S9 1XU,Private Limited Company,Liquidation,United Kingdom,,01/07/1997,31.0,5.0,28/02/2013,31/05/2011,FULL,28/12/2012,30/11/2011,6,0,0,6,42990 - Construction of other civil engineering projects n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/03395871,17/05/2018,ABBEY CIVIL ENGINEERING LIMITED,,,,,,,,,,,,,,,,,,,14/12/2016,
1930,04932802 LIMITED,04932802,,,WILSON FIELD LTD,THE MANOR HOUSE,SHEFFIELD,,,S11 9PS,Private Limited Company,Liquidation,United Kingdom,,15/10/2003,31.0,3.0,31/12/2015,31/03/2014,TOTAL EXEMPTION SMALL,12/11/2015,15/10/2014,0,0,0,0,33190 - Repair of other equipment,,,,0,0,http://business.data.gov.uk/id/company/04932802,05/01/2019,ROLLER COMPANY LIMITED,,,,,,,,,,,,,,,,,,,29/10/2016,
2046,06377227 LIMITED,06377227,,,93 QUEEN STREET,,SHEFFIELD,SOUTH YORKSHIRE,,S1 1WF,Private Limited Company,Active,United Kingdom,,20/09/2007,30.0,9.0,30/06/2014,30/09/2012,TOTAL EXEMPTION SMALL,18/10/2014,20/09/2013,2,1,0,1,43110 - Demolition,,,,0,0,http://business.data.gov.uk/id/company/06377227,16/11/2016,DEMOCON LIMITED,07/01/2008,RAZE LTD,,,,,,,,,,,,,,,,,04/10/2016,
2324,09494683 LTD,09494683,,,6 MAIN STREET,AUGHTON,SHEFFIELD,,UNITED KINGDOM,S26 3XJ,Private Limited Company,Active,United Kingdom,,17/03/2015,31.0,3.0,17/12/2016,,NO ACCOUNTS FILED,14/04/2016,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/09494683,07/08/2018,JLW CONSULTANCY LTD,,,,,,,,,,,,,,,,,,,31/03/2017,
2508,1 A S T LIMITED,09083000,,,26 GATEFIELD ROAD,,SHEFFIELD,,,S7 1RD,Private Limited Company,Active,United Kingdom,,12/06/2014,31.0,3.0,31/12/2025,31/03/2024,MICRO ENTITY,10/07/2017,12/06/2016,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/09083000,,,,,,,,,,,,,,,,,,,,,09/09/2025,26/08/2024
2604,1 AST PROPERTIES LIMITED,13857789,,,26 GATEFIELD ROAD,,SHEFFIELD,,UNITED KINGDOM,S7 1RD,Private Limited Company,Active,United Kingdom,,19/01/2022,31.0,3.0,31/12/2025,31/03/2024,MICRO ENTITY,16/02/2023,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/13857789,,,,,,,,,,,,,,,,,,,,,01/03/2025,15/02/2024
2970,1 FIRE SAFETY SOLUTION LTD,11657585,,,17 THE GROVE,THE GROVE,SHEFFIELD,,UNITED KINGDOM,S17 4AR,Private Limited Company,Active,United Kingdom,,02/11/2018,30.0,11.0,31/08/2025,30/11/2023,MICRO ENTITY,30/11/2019,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/11657585,,,,,,,,,,,,,,,,,,,,,15/11/2024,01/11/2023
3276,1 MIN MANAGER LIMITED,10596741,,,"UNIT 2, ROTHERSIDE COURT ROTHERSIDE ROAD",ECKINGTON,SHEFFIELD,,ENGLAND,S21 4HL,Private Limited Company,Active,United Kingdom,,02/02/2017,28.0,2.0,30/11/2024,28/02/2023,TOTAL EXEMPTION FULL,02/03/2018,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/10596741,,,,,,,,,,,,,,,,,,,,,06/03/2025,20/02/2024
3387,1 PASS HOLDINGS LIMITED,15838941,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S11 9PA,Private Limited Company,Active,United Kingdom,,15/07/2024,31.0,7.0,15/04/2026,,NO ACCOUNTS FILED,12/08/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15838941,,,,,,,,,,,,,,,,,,,,,28/07/2025,
3392,1 PENCIL LIMITED,12605098,,,17 LYNDHURST ROAD,,SHEFFIELD,,ENGLAND,S11 9BJ,Private Limited Company,Active,United Kingdom,,15/05/2020,31.0,5.0,28/02/2025,31/05/2023,MICRO ENTITY,12/06/2021,,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/12605098,,,,,,,,,,,,,,,,,,,,,28/05/2025,14/05/2024
3547,1 SOLUTION GROUP LTD,09920796,,,17 THE GROVE,TOTLEY,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S17 4AR,Private Limited Company,Active,United Kingdom,,17/12/2015,16.0,12.0,16/09/2025,16/12/2023,DORMANT,14/01/2017,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/09920796,,,,,,,,,,,,,,,,,,,,,19/11/2024,05/11/2023
3866,1 UP ACCESS LTD.,06660591,,,MERRITOR HOUSE NORFOLK BRIDGE BUSINESS PARK,FOLEY STREET,SHEFFIELD,SOUTH YORKS,,S4 7YW,Private Limited Company,Active,United Kingdom,,30/07/2008,30.0,6.0,31/03/2026,30/06/2024,TOTAL EXEMPTION FULL,28/05/2017,30/04/2016,3,3,0,0,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/06660591,10/12/2009,1 UP LIFTS LIMITED,05/09/2008,1-UP LIMITED,,,,,,,,,,,,,,,,,14/05/2025,30/04/2024
4375,1-CLICK DIGITAL MARKETING LTD,11956520,,,3 MOUNT PLEASANT CLOSE,CHAPELTOWN,SHEFFIELD,,UNITED KINGDOM,S35 2WE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,20/04/2019,30.0,4.0,31/01/2023,30/04/2021,DORMANT,18/05/2020,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,"47990 - Other retail sale not in stores, stalls or markets",62090 - Other information technology service activities,,0,0,http://business.data.gov.uk/id/company/11956520,,,,,,,,,,,,,,,,,,,,,03/05/2023,19/04/2022
5066,10 PAST 12 RECORDS LIMITED,04960467,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,,S11 9PA,Private Limited Company,Active,United Kingdom,,11/11/2003,30.0,11.0,31/08/2025,30/11/2023,MICRO ENTITY,03/12/2016,05/11/2015,0,0,0,0,59200 - Sound recording and music publishing activities,,,,0,0,http://business.data.gov.uk/id/company/04960467,,,,,,,,,,,,,,,,,,,,,19/11/2025,05/11/2024
5129,10 RICHMOND FREEHOLD MANAGEMENT LTD,13085313,,,155 RINGINGLOW ROAD,,SHEFFIELD,,ENGLAND,S11 7PS,Private Limited Company,Active,United Kingdom,,16/12/2020,31.0,12.0,30/09/2025,31/12/2023,MICRO ENTITY,13/01/2022,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/13085313,,,,,,,,,,,,,,,,,,,,,29/12/2024,15/12/2023
5245,10 TIB LANE LIMITED,10373859,,,4TH FLOOR FOUNTAIN PRECINCT,LEOPOLD STREET,SHEFFIELD,,,S1 2JA,Private Limited Company,Liquidation,United Kingdom,,13/09/2016,30.0,9.0,30/06/2021,30/09/2019,MICRO ENTITY,11/10/2017,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/10373859,,,,,,,,,,,,,,,,,,,,,30/10/2021,16/10/2020
5530,100 CLIMBS LIMITED,08961054,,,67 RANBY ROAD,,SHEFFIELD,,ENGLAND,S11 7AN,Private Limited Company,Active,United Kingdom,,26/03/2014,31.0,3.0,31/12/2025,31/03/2024,MICRO ENTITY,23/04/2017,26/03/2016,0,0,0,0,58190 - Other publishing activities,,,,0,0,http://business.data.gov.uk/id/company/08961054,,,,,,,,,,,,,,,,,,,,,09/04/2025,26/03/2024
5813,1000 MARBLES LTD,11415183,,,THE WORKSHOP SUITE 5 CHERRYTREE,UNION ROAD,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S11 9EF,Private Limited Company,Active,United Kingdom,,14/06/2018,30.0,6.0,31/03/2025,30/06/2023,MICRO ENTITY,12/07/2019,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/11415183,,,,,,,,,,,,,,,,,,,,,27/06/2025,13/06/2024
5929,100LEV LTD,15642609,,,249A WALKLEY ROAD,,SHEFFIELD,,ENGLAND,S6 2XN,Private Limited Company,Active,United Kingdom,,13/04/2024,30.0,4.0,13/01/2026,,NO ACCOUNTS FILED,11/05/2025,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/15642609,,,,,,,,,,,,,,,,,,,,,26/04/2025,
6553,103-105 LIMITED,13984099,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S11 9PA,Private Limited Company,Active,United Kingdom,,17/03/2022,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,14/04/2023,,0,0,0,0,59200 - Sound recording and music publishing activities,,,,0,0,http://business.data.gov.uk/id/company/13984099,18/03/2022,103-105 TO LIMITED,,,,,,,,,,,,,,,,,,,30/03/2025,16/03/2024
6617,104 FILMS (FILM NATION) LIMITED,07483362,,,199 RUSTLINGS ROAD,RUSTLINGS ROAD,SHEFFIELD,,ENGLAND,S11 7AD,Private Limited Company,Active,United Kingdom,,05/01/2011,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,02/02/2017,05/01/2016,0,0,0,0,59111 - Motion picture production activities,,,,0,0,http://business.data.gov.uk/id/company/07483362,,,,,,,,,,,,,,,,,,,,,19/01/2025,05/01/2024
7164,108 BROOMGROVE LIMITED,09814383,,,108 BROOMGROVE ROAD,,SHEFFIELD,,ENGLAND,S10 2NA,Private Limited Company,Active,United Kingdom,,07/10/2015,29.0,10.0,29/07/2025,29/10/2023,TOTAL EXEMPTION FULL,04/11/2016,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/09814383,,,,,,,,,,,,,,,,,,,,,20/10/2025,06/10/2024
7613,10NDEN LTD,15476365,,,"FLAT 6, FOUNDRY COURT",131 BURNGREAVE ROAD,SHEFFIELD,,UNITED KINGDOM,S3 9DG,Private Limited Company,Active,United Kingdom,,09/02/2024,29.0,2.0,09/11/2025,,NO ACCOUNTS FILED,09/03/2025,,0,0,0,0,53201 - Licensed carriers,,,,0,0,http://business.data.gov.uk/id/company/15476365,,,,,,,,,,,,,,,,,,,,,22/02/2025,
7687,10TH PLANET DESIGN LIMITED,04847265,,,80 MEADOW HEAD,,SHEFFIELD,,ENGLAND,S8 7UE,Private Limited Company,Active,United Kingdom,,28/07/2003,31.0,8.0,31/05/2025,31/08/2023,MICRO ENTITY,25/08/2016,28/07/2015,0,0,0,0,74100 - specialised design activities,,,,0,0,http://business.data.gov.uk/id/company/04847265,,,,,,,,,,,,,,,,,,,,,27/08/2025,13/08/2024
8291,11 PLUS SERVICES LTD,13628319,,,UNIT 9 TWELVE O'CLOCK COURT,ATTERCLIFFE ROAD,SHEFFIELD,,ENGLAND,S4 7WW,Private Limited Company,Active,United Kingdom,,17/09/2021,30.0,9.0,30/06/2025,30/09/2023,TOTAL EXEMPTION FULL,15/10/2022,,0,0,0,0,85600 - Educational support services,,,,0,0,http://business.data.gov.uk/id/company/13628319,,,,,,,,,,,,,,,,,,,,,30/09/2025,16/09/2024
8717,1101 LIMITED,06801097,,,WARDS COURT,203 ECCLESALL ROAD,SHEFFIELD,SOUTH YORKSHIRE,UNITED KINGDOM,S11 8HW,Private Limited Company,Active,United Kingdom,,26/01/2009,30.0,4.0,31/01/2025,30/04/2023,TOTAL EXEMPTION FULL,23/02/2017,26/01/2016,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/06801097,15/05/2024,MCI 4 SERVICE LIMITED,,,,,,,,,,,,,,,,,,,15/02/2025,01/02/2024
9032,113 BOLE HILL LANE MANAGEMENT COMPANY LIMITED,14570316,,,485A LOXLEY ROAD,LOXLEY,SHEFFIELD,,ENGLAND,S6 6RP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,04/01/2023,31.0,1.0,31/10/2025,31/01/2024,TOTAL EXEMPTION FULL,01/02/2024,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/14570316,,,,,,,,,,,,,,,,,,,,,17/01/2025,03/01/2024
9098,113 TRESSILLIAN ROAD FREEHOLD LIMITED,10622518,,,32 BRISTOL ROAD,,SHEFFIELD,,ENGLAND,S11 8RL,Private Limited Company,Active,United Kingdom,,16/02/2017,28.0,2.0,30/11/2025,28/02/2024,MICRO ENTITY,16/03/2018,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/10622518,,,,,,,,,,,,,,,,,,,,,05/03/2025,19/02/2024
9603,118 TRAVEL LIMITED,04990539,,,7 NEWFIELD COURT,586 FULWOOD ROAD,SHEFFIELD,,,S10 3QE,Private Limited Company,Liquidation,United Kingdom,,10/12/2003,30.0,4.0,31/01/2018,30/04/2016,TOTAL EXEMPTION SMALL,07/01/2017,10/12/2015,0,0,0,0,79110 - Travel agency activities,,,,0,0,http://business.data.gov.uk/id/company/04990539,,,,,,,,,,,,,,,,,,,,,24/12/2017,10/12/2016
9748,11:11 LETTINGS LTD,15418681,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,ENGLAND,S11 9PA,Private Limited Company,Active,United Kingdom,,16/01/2024,31.0,1.0,16/10/2025,,NO ACCOUNTS FILED,13/02/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15418681,,,,,,,,,,,,,,,,,,,,,29/01/2025,
10055,12 COMMERCE LTD,14774753,,,12 CRANWORTH ROAD,,SHEFFIELD,,ENGLAND,S3 9DT,Private Limited Company,Active,United Kingdom,,03/04/2023,30.0,4.0,03/01/2025,,NO ACCOUNTS FILED,01/05/2024,,0,0,0,0,46900 - Non-specialised wholesale trade,,,,0,0,http://business.data.gov.uk/id/company/14774753,,,,,,,,,,,,,,,,,,,,,16/04/2025,02/04/2024
10372,12 O’CLOCK MANAGEMENT LTD,15221310,,,UNIT 9 TWELVE O’CLOCK COURT,21 ATTERCLIFFE ROAD,SHEFFIELD,,UNITED KINGDOM,S4 7WW,Private Limited Company,Active,United Kingdom,,19/10/2023,31.0,10.0,19/07/2025,,NO ACCOUNTS FILED,16/11/2024,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/15221310,,,,,,,,,,,,,,,,,,,,,23/07/2025,09/07/2024
10885,121 CASTLE ROAD MANAGEMENT LIMITED,12759266,,,WINDY BANK HALL HILL TOP LANE,GREEN MOOR,SHEFFIELD,,ENGLAND,S35 7DQ,Private Limited Company,Active,United Kingdom,,21/07/2020,31.0,12.0,30/09/2025,31/12/2023,MICRO ENTITY,18/08/2021,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/12759266,,,,,,,,,,,,,,,,,,,,,20/04/2025,06/04/2024
10971,121 IT SERVICES LIMITED,04925344,,,UNIT 1,DON ROAD,SHEFFIELD,,ENGLAND,S9 2TJ,Private Limited Company,Active,United Kingdom,,08/10/2003,31.0,3.0,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,05/11/2016,08/10/2015,0,0,0,0,33120 - Repair of machinery,62020 - Information technology consultancy activities,,,0,0,http://business.data.gov.uk/id/company/04925344,,,,,,,,,,,,,,,,,,,,,20/09/2025,06/09/2024
11138,121DESIGNERS LTD,14565627,,,UNIT F WINSTON BUSINESS PARK CHURCHILL WAY,CHAPELTOWN,SHEFFIELD,,ENGLAND,S35 2PS,Private Limited Company,Active,United Kingdom,,03/01/2023,31.0,1.0,03/10/2024,,NO ACCOUNTS FILED,31/01/2024,,0,0,0,0,62012 - Business and domestic software development,62020 - Information technology consultancy activities,,,0,0,http://business.data.gov.uk/id/company/14565627,,,,,,,,,,,,,,,,,,,,,16/01/2025,02/01/2024
11145,121ITSUPPORT LTD,07369764,,,66 STANHOPE ROAD,,SHEFFIELD,,ENGLAND,S12 2ER,Private Limited Company,Active,United Kingdom,,08/09/2010,30.0,9.0,30/06/2025,30/09/2023,MICRO ENTITY,06/10/2016,08/09/2015,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/07369764,16/09/2013,INFOTECH SOLUTIONS&SUPPORT LTD,,,,,,,,,,,,,,,,,,,22/09/2025,08/09/2024
11152,121Q LTD,15903322,,,FF10C SORBY HOUSE,42 SPITAL HILL,SHEFFIELD,,ENGLAND,S4 7LG,Private Limited Company,Active,United Kingdom,,19/08/2024,31.0,8.0,19/05/2026,,NO ACCOUNTS FILED,16/09/2025,,0,0,0,0,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",47710 - Retail sale of clothing in specialised stores,56102 - Unlicensed restaurants and cafes,68320 - Management of real estate on a fee or contract basis,0,0,http://business.data.gov.uk/id/company/15903322,,,,,,,,,,,,,,,,,,,,,01/09/2025,
11253,1228PROPERTIES LTD,15923200,,,35 HASTINGS GRANGE,,SHEFFIELD,,ENGLAND,S7 2HJ,Private Limited Company,Active,United Kingdom,,28/08/2024,31.0,8.0,28/05/2026,,NO ACCOUNTS FILED,25/09/2025,,0,0,0,0,68201 - Renting and operating of Housing Association real estate,98000 - Residents property management,,,0,0,http://business.data.gov.uk/id/company/15923200,,,,,,,,,,,,,,,,,,,,,10/09/2025,
11656,124 MARLBOROUGH ROAD LONDON LIMITED,04197728,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,ENGLAND,S11 9PA,Private Limited Company,Active,United Kingdom,,10/04/2001,30.0,4.0,31/01/2026,30/04/2024,MICRO ENTITY,08/05/2017,10/04/2016,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04197728,,,,,,,,,,,,,,,,,,,,,11/04/2025,28/03/2024
13013,130 ELEKTRA FILMS LTD.,09518357,,,THE OLD WORKSHOP,1 ECCLESALL ROAD SOUTH,SHEFFIELD,,ENGLAND,S11 9PA,Private Limited Company,Active,United Kingdom,,31/03/2015,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,28/04/2017,31/03/2016,0,0,0,0,59112 - Video production activities,,,,0,0,http://business.data.gov.uk/id/company/09518357,,,,,,,,,,,,,,,,,,,,,14/04/2025,31/03/2024
13321,13292756 LTD,13292756,,,UNIT 4 PARK SQUARE NEWTON CHAMBERS ROAD,CHAPELTOWN,SHEFFIELD,,ENGLAND,S35 2PH,Private Limited Company,Liquidation,United Kingdom,,25/03/2021,31.0,3.0,31/12/2023,31/03/2022,MICRO ENTITY,22/04/2022,,0,0,0,0,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/13292756,17/10/2024,MID-AIR PLANT & PRESTIGE LTD,,,,,,,,,,,,,,,,,,,07/04/2023,24/03/2022
13614,136 RAMSAY ROAD LTD,11996954,,,35 PINNER ROAD,,SHEFFIELD,,ENGLAND,S11 8UG,Private Limited Company,Active,United Kingdom,,15/05/2019,31.0,5.0,28/02/2026,31/05/2024,DORMANT,12/06/2020,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/11996954,,,,,,,,,,,,,,,,,,,,,23/05/2025,09/05/2024
13621,"136, PSALTER LANE MANAGEMENT COMPANY LIMITED",06835333,,,70 SHELDON ROAD,,SHEFFIELD,,ENGLAND,S7 1GX,Private Limited Company,Active,United Kingdom,,03/03/2009,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,31/03/2017,03/03/2016,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/06835333,,,,,,,,,,,,,,,,,,,,,17/03/2025,03/03/2024
14187,14 FORBES LTD,12040944,,,92 COOKSON ROAD,,SHEFFIELD,,ENGLAND,S5 8LS,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,10/06/2019,9.0,4.0,09/01/2024,09/04/2022,MICRO ENTITY,08/07/2020,,0,0,0,0,46770 - Wholesale of waste and scrap,,,,0,0,http://business.data.gov.uk/id/company/12040944,,,,,,,,,,,,,,,,,,,,,02/03/2024,17/02/2023
14201,14 GLADSTONE ROAD MANAGEMENT COMPANY LIMITED,03073725,,,14A GLADSTONE RD,,SHEFFIELD,,,S10 3GT,Private Limited Company,Active,United Kingdom,,28/06/1995,30.0,6.0,31/03/2025,30/06/2023,MICRO ENTITY,26/07/2017,28/06/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/03073725,,,,,,,,,,,,,,,,,,,,,12/07/2025,28/06/2024
