,CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
5102782,THORNCLIFFE PROPERTIES LIMITED,12289671,,,131 IRONSTONE CRESCENT,CHAPELTOWN,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S35 3XT,Private Limited Company,Active,United Kingdom,,30/10/2019,31.0,10.0,31/07/2025,31/10/2023,TOTAL EXEMPTION FULL,27/11/2020,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/12289671,,,,,,,,,,,,,,,,,,,,,15/11/2025,01/11/2024
5103000,THORNE ROAD 72 (FREEHOLD) LIMITED,14121210,,,UNIT 4 164-170 QUEENS ROAD,,SHEFFIELD,,ENGLAND,S2 4DH,Private Limited Company,Active,United Kingdom,,20/05/2022,31.0,5.0,28/02/2025,31/05/2023,DORMANT,17/06/2023,,0,0,0,0,74990 - Non-trading company,99999 - Dormant Company,,,0,0,http://business.data.gov.uk/id/company/14121210,,,,,,,,,,,,,,,,,,,,,02/06/2025,19/05/2024
5103001,THORNE ROAD 72 LIMITED,14121197,,,UNIT 4 164-170 QUEENS ROAD,,SHEFFIELD,,ENGLAND,S2 4DH,Private Limited Company,Active,United Kingdom,,20/05/2022,31.0,5.0,28/02/2025,31/05/2023,DORMANT,17/06/2023,,0,0,0,0,98000 - Residents property management,99999 - Dormant Company,,,0,0,http://business.data.gov.uk/id/company/14121197,,,,,,,,,,,,,,,,,,,,,02/06/2025,19/05/2024
5103295,THORNHILL 13 LTD,12954164,,,6 BROADFIELD COURT,,SHEFFIELD,,ENGLAND,S8 0XF,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,15/10/2020,31.0,10.0,31/07/2024,31/10/2022,MICRO ENTITY,12/11/2021,,0,0,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/12954164,01/06/2022,TEC CARS LIMITED,19/10/2021,TOWN TAXI LIMITED,23/10/2020,TOWN TAXIS (BARNSLEY) LTD,,,,,,,,,,,,,,,23/04/2025,09/04/2024
5103396,THORNHILL PROPERTIES LIMITED,08306045,,,5 WESTBROOK COURT,SHARROWVALE ROAD,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S11 8YZ,Private Limited Company,Active,United Kingdom,,23/11/2012,31.0,12.0,30/09/2025,31/12/2023,TOTAL EXEMPTION FULL,21/12/2016,23/11/2015,3,2,0,1,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/08306045,,,,,,,,,,,,,,,,,,,,,07/12/2025,23/11/2024
5103601,THORNSEAT LODGE LIMITED,11343688,,,PROSPECT FARM KIRKEDGE ROAD,HIGH BRADFIELD,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S6 6LJ,Private Limited Company,Active,United Kingdom,,03/05/2018,31.0,5.0,28/02/2025,31/05/2023,MICRO ENTITY,31/05/2019,,1,1,0,0,55201 - Holiday centres and villages,,,,0,0,http://business.data.gov.uk/id/company/11343688,,,,,,,,,,,,,,,,,,,,,24/10/2025,10/10/2024
5103602,THORNSEAT WEDDINGS LIMITED,10251071,,,WOODSEATS WINDY BANK,BRADFIELD DALE,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S6 6GP,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,25/06/2016,28.0,2.0,30/11/2024,28/02/2023,MICRO ENTITY,23/07/2017,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10251071,28/02/2018,THORNSEAT LODGE LIMITED,,,,,,,,,,,,,,,,,,,08/07/2024,24/06/2023
5103604,THORNSETT COURT MANAGEMENT LIMITED,01802482,,,OMNIA PROPERTY GROUP ENTERPRISE HOUSE,BROADFIELD COURT,SHEFFIELD,,UNITED KINGDOM,S8 0XF,Private Limited Company,Active,United Kingdom,,22/03/1984,31.0,3.0,31/12/2024,31/03/2023,MICRO ENTITY,14/08/2016,17/07/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/01802482,,,,,,,,,,,,,,,,,,,,,31/07/2025,17/07/2024
5104280,THORP FARMS LTD,07585360,,,28 TERMINUS ROAD,,SHEFFIELD,,,S7 2LH,Private Limited Company,Active,United Kingdom,,31/03/2011,31.0,3.0,31/12/2025,31/03/2024,TOTAL EXEMPTION FULL,25/06/2017,28/05/2016,1,1,0,0,01500 - Mixed farming,,,,0,0,http://business.data.gov.uk/id/company/07585360,,,,,,,,,,,,,,,,,,,,,11/06/2025,28/05/2024
5104373,THORPE DEVELOPMENT SOLUTIONS LTD,09289635,,,6A STATION ROAD,ECKINGTON,SHEFFIELD,,,S21 4FX,Private Limited Company,Active,United Kingdom,,31/10/2014,31.0,10.0,31/07/2025,31/10/2023,MICRO ENTITY,28/11/2016,31/10/2015,0,0,0,0,43120 - Site preparation,,,,0,0,http://business.data.gov.uk/id/company/09289635,23/01/2020,THORPE BUILD & LANDSCAPE SOLUTIONS LTD,,,,,,,,,,,,,,,,,,,14/11/2025,31/10/2024
