Date,Time,NO2_BR,Lat_BR,Lon_BR,NO2_DG,Lat_DG,Lon_DG,NO2_T,Lat_T,Lon_T
2023-01-02,21:00:00,84.17709,53.40495,-1.455815,41.97412,53.378622,-1.478096,53.19661,53.41058,-1.396139
2023-01-02,22:00:00,71.45545,53.40495,-1.455815,35.1437,53.378622,-1.478096,49.64789,53.41058,-1.396139
2023-01-02,23:00:00,71.06374,53.40495,-1.455815,28.0278,53.378622,-1.478096,41.5849,53.41058,-1.396139
2023-01-02,24:00:00,59.73529,53.40495,-1.455815,22.39139,53.378622,-1.478096,40.88544,53.41058,-1.396139
2023-01-03,01:00:00,50.74171,53.40495,-1.455815,16.7665,53.378622,-1.478096,34.66986,53.41058,-1.396139
2023-01-03,02:00:00,35.36686,53.40495,-1.455815,17.79967,53.378622,-1.478096,37.10817,53.41058,-1.396139
2023-01-03,03:00:00,28.286,53.40495,-1.455815,22.0921,53.378622,-1.478096,38.50859,53.41058,-1.396139
2023-01-03,04:00:00,40.27979,53.40495,-1.455815,34.30411,53.378622,-1.478096,32.71661,53.41058,-1.396139
2023-01-03,05:00:00,38.86011,53.40495,-1.455815,30.16343,53.378622,-1.478096,31.6327,53.41058,-1.396139
2023-01-03,06:00:00,43.82426,53.40495,-1.455815,21.004,53.378622,-1.478096,27.87979,53.41058,-1.396139
2023-01-03,07:00:00,47.03004,53.40495,-1.455815,22.14539,53.378622,-1.478096,32.88005,53.41058,-1.396139
2023-01-03,08:00:00,53.72873,53.40495,-1.455815,31.31015,53.378622,-1.478096,32.19431,53.41058,-1.396139
2023-01-03,09:00:00,53.86524,53.40495,-1.455815,33.18223,53.378622,-1.478096,37.23984,53.41058,-1.396139
2023-01-03,10:00:00,43.80674,53.40495,-1.455815,25.36655,53.378622,-1.478096,32.19733,53.41058,-1.396139
2023-01-03,11:00:00,38.60152,53.40495,-1.455815,25.10258,53.378622,-1.478096,23.93865,53.41058,-1.396139
2023-01-03,12:00:00,57.46368,53.40495,-1.455815,39.72449,53.378622,-1.478096,28.78465,53.41058,-1.396139
2023-01-03,13:00:00,53.12602,53.40495,-1.455815,35.76861,53.378622,-1.478096,29.32969,53.41058,-1.396139
2023-01-03,14:00:00,49.10488,53.40495,-1.455815,26.34808,53.378622,-1.478096,22.15518,53.41058,-1.396139
2023-01-03,15:00:00,54.66277,53.40495,-1.455815,23.13602,53.378622,-1.478096,29.96425,53.41058,-1.396139
2023-01-03,16:00:00,37.01392,53.40495,-1.455815,19.87445,53.378622,-1.478096,29.81602,53.41058,-1.396139
2023-01-03,17:00:00,30.75482,53.40495,-1.455815,14.75225,53.378622,-1.478096,21.95741,53.41058,-1.396139
2023-01-03,18:00:00,29.74253,53.40495,-1.455815,14.38899,53.378622,-1.478096,21.26527,53.41058,-1.396139
2023-01-03,19:00:00,39.20404,53.40495,-1.455815,11.48964,53.378622,-1.478096,15.82445,53.41058,-1.396139
2023-01-03,20:00:00,27.05004,53.40495,-1.455815,11.90346,53.378622,-1.478096,13.8935,53.41058,-1.396139
2023-01-03,21:00:00,23.78223,53.40495,-1.455815,8.0222,53.378622,-1.478096,12.31019,53.41058,-1.396139
2023-01-03,22:00:00,15.36854,53.40495,-1.455815,6.57253,53.378622,-1.478096,10.38099,53.41058,-1.396139
2023-01-03,23:00:00,15.41852,53.40495,-1.455815,4.14107,53.378622,-1.478096,6.32621,53.41058,-1.396139
2023-01-03,24:00:00,12.4596,53.40495,-1.455815,3.51943,53.378622,-1.478096,3.85575,53.41058,-1.396139
