osmid,osmid_original,y,x,street_count,LSOA,LSOA_Lon,LSOA_Lat,PWC_Distance,NodeID,lon,lat,osmid_Old,NodeID_New,ref,highway,geometry
0,318443,53.426879099999994,-1.4162355999999994,3,E01007852,-1.4194783156197548,53.42046419037579,0.007187925297149907,0,-1.4162356,53.4268791,1,0,,,POINT (-1.4162355999999994 53.426879099999994)
1,"[21754346, 21754348, 21754275, 705632304, 246897925, 705632330, 149827552, 149827548, 860685929, 21754350, 21754352, 148866610, 148866611, 21754354, 251834056, 21754358, 860685931]",53.413268760965785,-1.4015760762228784,0,E01007913,-1.3989273652315835,53.41431725648242,0.0028486861469473623,1,,,2,1,,,POINT (-1.4015760762228784 53.413268760965785)
2,318473,53.4493954,-1.4444759999999999,3,E01008135,-1.462530718758868,53.44530526247508,0.01851221473607552,2,-1.444476,53.4493954,3,2,35,motorway_junction,POINT (-1.4444759999999999 53.4493954)
3,"[261994607, 261994286, 33205084, 33205086, 1562857116]",53.45576227458879,-1.4467362829971904,0,E01008135,-1.462530718758868,53.44530526247508,0.018942367945324935,3,,,5,3,,,POINT (-1.4467362829971904 53.45576227458879)
4,318446,53.4259088,-1.4152296,3,E01007852,-1.4194783156197548,53.42046419037579,0.006906182619770681,4,-1.4152296,53.4259088,6,4,34,motorway_junction,POINT (-1.4152296 53.4259088)
5,"[21754470, 21754478, 21754468, 1234855122, 1234855129, 1234855142, 21754476, 148863791, 148863789, 21754480]",53.42189187358523,-1.4112807154613123,0,E01007852,-1.4194783156197548,53.42046419037579,0.008320993192174865,5,,,8,5,,,POINT (-1.4112807154613123 53.42189187358523)
6,1590900275,53.4497359,-1.4443261000000014,3,E01008135,-1.462530718758868,53.44530526247508,0.018736026607393368,6,-1.4443261,53.4497359,10,6,,,POINT (-1.4443261000000014 53.4497359)
7,"[33205095, 33205094, 33205092, 33205093]",53.45596348885193,-1.4441830612121387,0,E01008135,-1.462530718758868,53.44530526247508,0.021218725856002298,7,,,11,7,,,POINT (-1.4441830612121387 53.45596348885193)
8,"[415047, 1744693992, 25966034, 29031283, 25966038]",53.48277432386066,-1.5608020005415026,0,E01008143,-1.5731865031074546,53.477596397664385,0.013423368560094759,8,,,12,8,,,POINT (-1.5608020005415026 53.48277432386066)
9,"[25920147, 25920160, 1347645836]",53.481448270061115,-1.5625543316309014,0,E01008143,-1.5731865031074546,53.477596397664385,0.011308403568476016,9,,,13,9,,,POINT (-1.5625543316309014 53.481448270061115)
10,1283417184,53.4822447,-1.5721262000000003,3,E01008144,-1.5921036556059867,53.480551700185764,0.020049064338771,10,-1.5721262,53.4822447,14,10,,,POINT (-1.5721262000000003 53.4822447)
11,"[21026828, 130915814, 21026875, 21026878, 1234169804, 483160708, 130915788, 250720604, 250720607, 21026879, 250720610, 130915763, 26821733, 26821734, 250720606, 250720592, 26841927, 130915803, 906150418, 192551504, 250720608, 130915746, 130915741, 1277052016, 130915749, 130915753, 130915755, 130915785, 1300337554, 1234169808, 130915798, 250720601]",53.40459764136094,-1.4961650458532068,0,E01008093,-1.4987266637384804,53.404365837638544,0.0025720845934512084,11,,,15,11,,,POINT (-1.4961650458532068 53.40459764136094)
12,"[2273087090, 250720897, 8936023366, 8936023363]",53.407529400426796,-1.4968037868222261,0,E01008091,-1.5009902284989043,53.4132121184609,0.007058298532035348,12,,,16,12,,,POINT (-1.4968037868222261 53.407529400426796)
13,"[1744738487, 21026882, 250720899, 69365105, 1395200885, 8936023346, 250720903, 250720901, 1395200731]",53.40934663342382,-1.497772313807649,0,E01008091,-1.5009902284989043,53.4132121184609,0.005029607294018566,13,,,17,13,,,POINT (-1.497772313807649 53.40934663342382)
14,"[21026832, 1758645507, 1758645493, 1759989656]",53.40273576957355,-1.4933144239814116,0,E01008093,-1.4987266637384804,53.404365837638544,0.005652385433115703,14,,,18,14,,,POINT (-1.4933144239814116 53.40273576957355)
