u,v,key,osmid,oneway,lanes_OSMNx,ref,highway,maxspeed,reversed,length,bridge,ID,ID_tuple,new_ID,count,speedlim,lanes,width,highway_key,class,road_class,capacity,congFactor,avgSpeed,criticalDensity,u_original,v_original,geometry,idx,u_Old,v_Old,key_Old,name,junction,access,width_OSMNx,suspicious_width,tunnel
60,58,0,"[15090361, 808056279]",True,2,A6178,primary,40 mph,False,313.47646298605366,,"[15090361, 808056279]","(15090361, 808056279)",214,1,64.3736,2.0,7.169747619047621,primary,UAP2,2,1044.6021602016149,0.3,19.312079999999998,54.09060858289811,21754368,21754291,"LINESTRING (-1.4071765820408262 53.412124979911525, -1.4063070999999996 53.41063580000001, -1.4077792000000013 53.40976149999999)","(64, 62, 0)",64,62,0,,,,,,
60,751,0,808048047,True,2,,tertiary,30 mph,False,401.69301809606543,,[808048047],"(808048047,)",4694,1,48.2802,2.0,5.283099999999999,tertiary,UAP4,4,641.9517534381737,0.3,14.48406,44.321257536779996,8914076480,976215725,"LINESTRING (-1.4071765820408262 53.412124979911525, -1.4096795000000004 53.4110921, -1.4118798999999993 53.4106966, -1.412547053211022 53.41082830883502)","(64, 757, 0)",64,757,0,Meadowhall Way,,,,,
60,1,0,"[114437326, 15090351, 808056277, 808061429, 963461561, 114437306, 116502366]",True,"['2', '3']",A6178,primary,40 mph,False,543.4015961649029,yes,"[114437326, 15090351, 808056277, 808061429, 963461561, 114437306, 116502366]","(114437326, 15090351, 808056277, 808061429, 963461561, 114437306, 116502366)",3370,1,64.3736,3.0,9.244928571428574,primary,UAP2,2,1274.204314754886,0.3,19.312079999999998,65.9796518425196,976215865,21754352,"LINESTRING (-1.4071765820408262 53.412124979911525, -1.4057999000000005 53.41125389999999, -1.4028589999999999 53.41353049999999, -1.4015760762228784 53.413268760965785)","(64, 2, 0)",64,2,0,,,,,,
60,62,0,"[807310888, 807310905]",True,"['2', '3']",,tertiary,30 mph,False,704.6141078916498,,"[807310888, 807310905]","(807310888, 807310905)",4539,1,48.2802,3.0,9.302,tertiary,UAP4,4,1038.230194746018,0.3,14.48406,71.68088193131057,7549524668,7549524640,"LINESTRING (-1.4071765820408262 53.412124979911525, -1.4059182 53.414179100000005, -1.4063802000000007 53.41536609999999, -1.4103721574667156 53.4170625328809)","(64, 66, 0)",64,66,0,Meadowhall Way,,,,,
5,0,0,"[117986963, 117987971, 8066407]",True,"['1', '2']",,motorway_link,70 mph,False,697.5292948101206,yes,"[117986963, 117987971, 8066407]","(117986963, 117987971, 8066407)",242,1,112.6538,2.0,7.169747619047621,motorway_link,UAP1,1,1289.1888288734274,0.6,67.59228,19.073018825129548,21754468,318443,"LINESTRING (-1.4112807154613123 53.42189187358523, -1.4121571000000008 53.4217096, -1.4162355999999994 53.426879099999994)","(8, 1, 0)",8,1,0,,,,,,
5,631,0,425752248,False,,,tertiary,,True,378.6178677964201,,[425752248],"(425752248,)",2073,8,48.2802,1.0,4.190957792207791,tertiary,UAP4,4,549.3071401513391,0.3,14.48406,37.92494232634628,1234855129,243641900,"LINESTRING (-1.4112807154613123 53.42189187358523, -1.4123048000000005 53.422518600000004, -1.4156019999999996 53.424102)","(8, 636, 0)",8,636,0,Blackburn Road,,,,,
5,1,0,"[15090369, 808061434, 114437428, 117987014]",True,"['2', '3']",A631,trunk,50 mph,False,1194.2876467175345,yes,"[15090369, 808061434, 114437428, 117987014]","(15090369, 808061434, 114437428, 117987014)",244,1,80.467,3.0,9.244928571428574,trunk,UAP1,1,1572.5508053393933,0.3,24.1401,65.14267982897309,21754476,148866611,"LINESTRING (-1.4112807154613123 53.42189187358523, -1.4097838 53.4217734, -1.4019952000000004 53.41399159999999, -1.4015760762228784 53.413268760965785)","(8, 2, 0)",8,2,0,Tinsley Viaduct,,,,,
5,62,0,"[117987005, 22716798, 117986943]",False,4,A6109,primary,30 mph,True,590.5765644097016,yes,"[117987005, 22716798, 117986943]","(117987005, 22716798, 117986943)",1588,2,48.2802,4.0,9.244928571428574,primary,UAP2,2,1246.045296894819,0.3,14.48406,86.0287306801283,148863789,3255856776,"LINESTRING (-1.4112807154613123 53.42189187358523, -1.4119039 53.4209212, -1.4124939000000003 53.41900189999999, -1.4103721574667156 53.4170625328809)","(8, 66, 0)",8,66,0,Meadowhall Road,,,,,
57,56,0,425758954,False,2,A6178,primary,30 mph,False,340.6080133054668,,[425758954],"(425758954,)",3005,2,48.2802,2.0,7.169747619047621,primary,UAP3,3,923.645803870954,0.3,14.48406,63.769813427378374,1506291388,469481897,"LINESTRING (-1.4000444491642139 53.416033700216964, -1.3998145999999996 53.41587849999999, -1.3973628999999996 53.41716269999999, -1.3964371925374344 53.41788040506758)","(61, 60, 0)",61,60,0,Sheffield Road,,,,,
57,1,0,"[23270784, 425758954]",False,2,A6178,primary,30 mph,True,342.58286988948066,,"[23270784, 425758954]","(23270784, 425758954)",2439,2,48.2802,2.0,7.169747619047621,primary,UAP3,3,923.645803870954,0.3,14.48406,63.769813427378374,1506291388,251834056,"LINESTRING (-1.4000444491642139 53.416033700216964, -1.3998145999999996 53.41587849999999, -1.4010125000000004 53.414863, -1.4015760762228784 53.413268760965785)","(61, 2, 0)",61,2,0,Sheffield Road,,,,,
