Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
15.47,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
13.2,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
8.57,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
12.175,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
7.725,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
15.28,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
36.06,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
14.78,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
11.81,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
12.66,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
15.235,15.270561329452772,6,0.03962613522953973,125,2450,0.9316777604929192,0.084
18.28,15.267990933221428,6.09375,0.037055738998196475,125,2450,0.9316778079572027,0.0853125
16.535,15.267990933221428,6.125,0.037055738998196475,125,2450,0.9316778242734315,0.08575
13.44,15.267990933221428,6.125,0.037055738998196475,125,2450,0.9316778242734315,0.08575
11.445,15.266112668085034,6.25,0.035177473861802255,125,2450,0.9316778920807454,0.08750000000000001
11.94,15.266112668085034,6.25,0.035177473861802255,125,2450,0.9316778920807454,0.08750000000000001
14.095,15.266112668085034,6.25,0.035177473861802255,125,2450,0.9316778920807454,0.08750000000000001
18.275,15.266112668085034,6.25,0.035177473861802255,125,2450,0.9316778920807454,0.08750000000000001
14.505,15.266112668085034,6.25,0.035177473861802255,125,2450,0.9316778920807454,0.08750000000000001
9.88,15.263645117828403,6.375,0.032709923605171554,125,2450,0.931677964080885,0.08925
12.335,15.263645117828403,6.375,0.032709923605171554,125,2450,0.931677964080885,0.08925
13.235,15.263645117828403,6.375,0.032709923605171554,125,2450,0.931677964080885,0.08925
10.12,15.263645117828403,6.375,0.032709923605171554,125,2450,0.931677964080885,0.08925
13.64,15.263645117828403,6.375,0.032709923605171554,125,2450,0.931677964080885,0.08925
12.6,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
11.41,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
31.955,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
14.075,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
8.370000000000001,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
10.235,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
13.925,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
12.18,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
17.37,15.261477863408672,6.5,0.03054266918544002,125,2450,0.9316780404432298,0.091
14.86,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
8.795,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
10.04,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
14.260000000000002,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
13.38,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
13.44,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
12.655,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
11.38,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
12.68,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
12.08,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
9.55,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
15.925,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
15.22,15.260894827456768,6.625,0.029959633233536564,125,2450,0.9316781213405123,0.09275
11.35,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
10.79,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
13.565,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
15.585,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
21.495,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
16.135,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
13.145,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
13.81,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
17.744999999999997,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
14.505,15.2652518929686,6.75,0.0343166987453678,125,2450,0.9316782069488198,0.0945
15.175,15.263981945211054,6.875,0.03304675098782184,125,2450,0.931678297447593,0.09625
14.035,15.263981945211054,6.875,0.03304675098782184,125,2450,0.931678297447593,0.09625
10.665,15.263981945211054,6.875,0.03304675098782184,125,2450,0.931678297447593,0.09625
13.855,15.263981945211054,6.875,0.03304675098782184,125,2450,0.931678297447593,0.09625
