Density,NO2
0,0
0.01,1.369839407209691e-4
0.02,2.739678814419382e-4
0.03,4.109518221629073e-4
0.04,5.479357628838765e-4
0.05,6.849197036048456e-4
0.06,8.219036443258146e-4
0.07,9.588875850467839e-4
0.08,0.001095871525767753
0.09,0.001232855466488722
0.1,0.0013698394072096912
0.11,0.0015068233479306602
0.12,0.0016438072886516292
0.13,0.0017807912293725985
0.14,0.0019177751700935677
0.15,0.0020547591108145366
0.16,0.002191743051535506
0.17,0.002328726992256475
0.18,0.002465710932977444
0.19,0.002602694873698413
0.2,0.0027396788144193824
0.21,0.002876662755140351
0.22,0.0030136466958613204
0.23,0.0031506306365822897
0.24,0.0032876145773032585
0.25,0.0034245985180242277
0.26,0.003561582458745197
0.27,0.0036985663994661662
0.28,0.0038355503401871355
0.29,0.003972534280908104
0.3,0.004109518221629073
0.31,0.004246502162350042
0.32,0.004383486103071012
0.33,0.004520470043791981
0.34,0.00465745398451295
0.35000000000000003,0.004794437925233919
0.36,0.004931421865954888
0.37,0.005068405806675857
0.38,0.005205389747396826
0.39,0.0053423736881177955
0.4,0.005479357628838765
0.41000000000000003,0.005616341569559734
0.42,0.005753325510280702
0.43,0.005890309451001672
0.44,0.006027293391722641
0.45,0.00616427733244361
0.46,0.006301261273164579
0.47000000000000003,0.006438245213885549
0.48,0.006575229154606517
0.49,0.006712213095327486
0.5,0.0068491970360484555
0.51,0.006986180976769425
0.52,0.007123164917490394
0.53,0.007260148858211363
0.54,0.0073971327989323325
0.55,0.007534116739653302
0.56,0.007671100680374271
0.5700000000000001,0.00780808462109524
0.58,0.007945068561816208
0.59,0.008082052502537178
0.6,0.008219036443258146
0.61,0.008356020383979116
0.62,0.008493004324700085
0.63,0.008629988265421053
0.64,0.008766972206142023
0.65,0.008903956146862992
0.66,0.009040940087583962
0.67,0.00917792402830493
0.68,0.0093149079690259
0.6900000000000001,0.009451891909746869
0.7000000000000001,0.009588875850467839
0.71,0.009725859791188807
0.72,0.009862843731909775
0.73,0.009999827672630746
0.74,0.010136811613351714
0.75,0.010273795554072682
0.76,0.010410779494793652
0.77,0.01054776343551462
0.78,0.010684747376235591
0.79,0.01082173131695656
0.8,0.01095871525767753
0.81,0.011095699198398498
0.8200000000000001,0.011232683139119468
0.8300000000000001,0.011369667079840436
0.84,0.011506651020561405
0.85,0.011643634961282375
0.86,0.011780618902003343
0.87,0.011917602842724313
0.88,0.012054586783445282
0.89,0.01219157072416625
0.9,0.01232855466488722
0.91,0.012465538605608189
0.92,0.012602522546329159
0.93,0.012739506487050127
0.9400000000000001,0.012876490427771097
0.9500000000000001,0.013013474368492066
0.96,0.013150458309213034
0.97,0.013287442249934004
0.98,0.013424426190654972
0.99,0.013561410131375943
1,0.013698394072096911
1.01,0.01383537801281788
1.02,0.01397236195353885
1.03,0.014109345894259818
1.04,0.014246329834980788
1.05,0.014383313775701756
1.06,0.014520297716422726
1.07,0.014657281657143695
1.08,0.014794265597864665
1.09,0.014931249538585633
1.1,0.015068233479306603
1.11,0.015205217420027572
1.12,0.015342201360748542
1.1300000000000001,0.01547918530146951
1.1400000000000001,0.01561616924219048
1.1500000000000001,0.01575315318291145
1.16,0.015890137123632415
1.17,0.016027121064353386
1.18,0.016164105005074356
1.19,0.016301088945795322
1.2,0.016438072886516292
1.21,0.016575056827237263
1.22,0.016712040767958233
1.23,0.0168490247086792
1.24,0.01698600864940017
1.25,0.01712299259012114
1.26,0.017259976530842106
1.27,0.017396960471563076
1.28,0.017533944412284046
1.29,0.017670928353005017
1.3,0.017807912293725983
1.31,0.017944896234446953
1.32,0.018081880175167923
1.33,0.018218864115888894
1.34,0.01835584805660986
1.35,0.01849283199733083
1.36,0.0186298159380518
1.37,0.01876679987877277
1.3800000000000001,0.018903783819493737
1.3900000000000001,0.019040767760214707
1.4000000000000001,0.019177751700935677
1.41,0.019314735641656644
1.42,0.019451719582377614
1.43,0.01958870352309858
1.44,0.01972568746381955
1.45,0.01986267140454052
1.46,0.01999965534526149
1.47,0.020136639285982458
1.48,0.020273623226703428
1.49,0.020410607167424398
1.5,0.020547591108145365
1.51,0.020684575048866335
1.52,0.020821558989587305
1.53,0.020958542930308275
1.54,0.02109552687102924
1.55,0.021232510811750212
1.56,0.021369494752471182
1.57,0.021506478693192152
1.58,0.02164346263391312
1.59,0.02178044657463409
1.6,0.02191743051535506
1.61,0.02205441445607603
1.62,0.022191398396796996
1.6300000000000001,0.022328382337517966
1.6400000000000001,0.022465366278238936
1.6500000000000001,0.022602350218959906
1.6600000000000001,0.022739334159680873
1.67,0.02287631810040184
1.68,0.02301330204112281
1.69,0.02315028598184378
1.7,0.02328726992256475
1.71,0.023424253863285716
1.72,0.023561237804006686
1.73,0.023698221744727656
1.74,0.023835205685448627
1.75,0.023972189626169593
1.76,0.024109173566890563
1.77,0.024246157507611533
1.78,0.0243831414483325
1.79,0.02452012538905347
1.8,0.02465710932977444
1.81,0.02479409327049541
1.82,0.024931077211216377
1.83,0.025068061151937347
1.84,0.025205045092658317
1.85,0.025342029033379287
1.86,0.025479012974100254
1.87,0.025615996914821224
1.8800000000000001,0.025752980855542194
1.8900000000000001,0.025889964796263164
1.9000000000000001,0.02602694873698413
1.9100000000000001,0.0261639326777051
1.92,0.026300916618426068
1.93,0.026437900559147038
1.94,0.026574884499868008
1.95,0.026711868440588975
1.96,0.026848852381309945
1.97,0.026985836322030915
1.98,0.027122820262751885
1.99,0.027259804203472852
2,0.027396788144193822
2.0100000000000002,0.027533772084914795
2.02,0.02767075602563576
2.0300000000000002,0.027807739966356732
2.04,0.0279447239070777
2.05,0.028081707847798665
2.06,0.028218691788519636
2.07,0.028355675729240602
2.08,0.028492659669961576
2.09,0.028629643610682542
2.1,0.028766627551403513
2.11,0.02890361149212448
2.12,0.029040595432845453
2.13,0.02917757937356642
2.14,0.02931456331428739
2.15,0.029451547255008356
2.16,0.02958853119572933
2.17,0.029725515136450296
2.18,0.029862499077171267
2.19,0.029999483017892233
2.2,0.030136466958613207
2.21,0.030273450899334173
2.22,0.030410434840055144
2.23,0.03054741878077611
2.24,0.030684402721497084
2.25,0.03082138666221805
2.2600000000000002,0.03095837060293902
2.27,0.031095354543659987
2.2800000000000002,0.03123233848438096
2.29,0.031369322425101924
2.3000000000000003,0.0315063063658229
2.31,0.031643290306543864
2.32,0.03178027424726483
2.33,0.031917258187985804
2.34,0.03205424212870677
2.35,0.032191226069427745
2.36,0.03232821001014871
2.37,0.03246519395086968
2.38,0.032602177891590645
2.39,0.03273916183231162
2.4,0.032876145773032585
2.41,0.03301312971375356
2.42,0.033150113654474525
2.43,0.0332870975951955
2.44,0.033424081535916465
2.45,0.03356106547663743
2.46,0.0336980494173584
2.47,0.03383503335807937
2.48,0.03397201729880034
2.49,0.03410900123952131
2.5,0.03424598518024228
2.5100000000000002,0.03438296912096325
2.52,0.03451995306168421
2.5300000000000002,0.034656937002405186
2.54,0.03479392094312615
2.5500000000000003,0.034930904883847126
2.56,0.03506788882456809
2.57,0.03520487276528906
2.58,0.03534185670601003
2.59,0.035478840646731
2.6,0.035615824587451966
2.61,0.03575280852817293
2.62,0.03588979246889391
2.63,0.03602677640961487
2.64,0.03616376035033585
2.65,0.03630074429105681
2.66,0.03643772823177779
2.67,0.036574712172498754
2.68,0.03671169611321972
2.69,0.03684868005394069
2.7,0.03698566399466166
2.71,0.03712264793538263
2.72,0.0372596318761036
2.73,0.03739661581682457
2.74,0.03753359975754554
2.75,0.03767058369826651
2.7600000000000002,0.037807567638987474
2.77,0.03794455157970844
2.7800000000000002,0.038081535520429415
2.79,0.03821851946115038
2.8000000000000003,0.038355503401871355
2.81,0.03849248734259232
2.82,0.03862947128331329
2.83,0.03876645522403426
2.84,0.03890343916475523
2.85,0.039040423105476195
2.86,0.03917740704619716
2.87,0.039314390986918135
2.88,0.0394513749276391
2.89,0.039588358868360075
2.9,0.03972534280908104
2.91,0.039862326749802016
2.92,0.03999931069052298
2.93,0.04013629463124395
2.94,0.040273278571964916
2.95,0.04041026251268589
2.96,0.040547246453406856
2.97,0.04068423039412783
2.98,0.040821214334848796
2.99,0.04095819827556977
3,0.04109518221629073
3.0100000000000002,0.0412321661570117
3.02,0.04136915009773267
3.0300000000000002,0.04150613403845364
3.04,0.04164311797917461
3.0500000000000003,0.04178010191989558
3.06,0.04191708586061655
3.0700000000000003,0.042054069801337524
3.08,0.04219105374205848
3.09,0.04232803768277945
3.1,0.042465021623500424
3.11,0.04260200556422139
3.12,0.042738989504942364
3.13,0.04287597344566333
3.14,0.043012957386384304
3.15,0.04314994132710527
3.16,0.04328692526782624
3.17,0.043423909208547204
3.18,0.04356089314926818
3.19,0.043697877089989144
3.2,0.04383486103071012
3.21,0.043971844971431084
3.22,0.04410882891215206
3.23,0.044245812852873025
3.24,0.04438279679359399
3.25,0.04451978073431496
3.2600000000000002,0.04465676467503593
3.27,0.0447937486157569
3.2800000000000002,0.04493073255647787
3.29,0.04506771649719884
3.3000000000000003,0.04520470043791981
3.31,0.04534168437864078
3.3200000000000003,0.045478668319361745
3.33,0.04561565226008271
3.34,0.04575263620080368
3.35,0.04588962014152465
3.36,0.04602660408224562
3.37,0.04616358802296659
3.38,0.04630057196368756
3.39,0.04643755590440853
3.4,0.0465745398451295
3.41,0.046711523785850466
3.42,0.04684850772657143
3.43,0.046985491667292406
3.44,0.04712247560801337
3.45,0.047259459548734346
3.46,0.04739644348945531
3.47,0.04753342743017629
3.48,0.04767041137089725
3.49,0.04780739531161822
3.5,0.047944379252339187
3.5100000000000002,0.04808136319306016
3.52,0.04821834713378113
3.5300000000000002,0.0483553310745021
3.54,0.04849231501522307
3.5500000000000003,0.04862929895594404
3.56,0.048766282896665
3.5700000000000003,0.048903266837385974
3.58,0.04904025077810694
3.59,0.04917723471882791
3.6,0.04931421865954888
3.61,0.04945120260026985
3.62,0.04958818654099082
3.63,0.04972517048171179
3.64,0.049862154422432754
3.65,0.04999913836315372
3.66,0.050136122303874694
3.67,0.05027310624459566
3.68,0.050410090185316635
3.69,0.0505470741260376
3.7,0.050684058066758575
3.71,0.05082104200747954
3.72,0.05095802594820051
3.73,0.051095009888921475
3.74,0.05123199382964245
3.75,0.051368977770363415
3.7600000000000002,0.05150596171108439
3.77,0.051642945651805355
3.7800000000000002,0.05177992959252633
3.79,0.051916913533247296
3.8000000000000003,0.05205389747396826
3.81,0.05219088141468923
3.8200000000000003,0.0523278653554102
3.83,0.05246484929613117
3.84,0.052601833236852136
3.85,0.05273881717757311
3.86,0.052875801118294076
3.87,0.05301278505901505
3.88,0.053149768999736016
3.89,0.05328675294045698
3.9,0.05342373688117795
3.91,0.05356072082189892
3.92,0.05369770476261989
3.93,0.05383468870334086
3.94,0.05397167264406183
3.95,0.054108656584782804
3.96,0.05424564052550377
3.97,0.05438262446622474
3.98,0.054519608406945703
3.99,0.05465659234766668
4,0.054793576288387644
4.01,0.05493056022910861
4.0200000000000005,0.05506754416982959
4.03,0.05520452811055056
4.04,0.05534151205127152
4.05,0.055478495991992484
4.0600000000000005,0.055615479932713464
4.07,0.05575246387343443
4.08,0.0558894478141554
4.09,0.056026431754876364
4.1,0.05616341569559733
4.11,0.05630039963631831
4.12,0.05643738357703927
4.13,0.05657436751776024
4.14,0.056711351458481205
4.15,0.056848335399202185
4.16,0.05698531933992315
4.17,0.05712230328064412
4.18,0.057259287221365085
4.19,0.057396271162086065
4.2,0.057533255102807025
4.21,0.05767023904352799
4.22,0.05780722298424896
4.23,0.05794420692496994
4.24,0.058081190865690906
4.25,0.05821817480641187
4.26,0.05835515874713284
4.2700000000000005,0.05849214268785381
4.28,0.05862912662857478
4.29,0.058766110569295746
4.3,0.05890309451001671
4.3100000000000005,0.05904007845073769
4.32,0.05917706239145866
4.33,0.059314046332179626
4.34,0.05945103027290059
4.3500000000000005,0.059588014213621567
4.36,0.05972499815434253
4.37,0.0598619820950635
4.38,0.059998966035784466
4.39,0.06013594997650543
4.4,0.060272933917226414
4.41,0.06040991785794738
4.42,0.06054690179866835
4.43,0.060683885739389314
4.44,0.06082086968011029
4.45,0.060957853620831254
4.46,0.06109483756155222
4.47,0.06123182150227319
4.48,0.06136880544299417
4.49,0.061505789383715134
4.5,0.0616427733244361
4.51,0.06177975726515707
4.5200000000000005,0.06191674120587804
4.53,0.06205372514659901
4.54,0.062190709087319974
4.55,0.06232769302804094
4.5600000000000005,0.06246467696876192
4.57,0.06260166090948288
4.58,0.06273864485020385
4.59,0.06287562879092481
4.6000000000000005,0.0630126127316458
4.61,0.06314959667236676
4.62,0.06328658061308773
4.63,0.0634235645538087
4.64,0.06356054849452966
4.65,0.06369753243525064
4.66,0.06383451637597161
4.67,0.06397150031669258
4.68,0.06410848425741354
4.69,0.06424546819813452
4.7,0.06438245213885549
4.71,0.06451943607957646
4.72,0.06465642002029742
4.73,0.06479340396101839
4.74,0.06493038790173936
4.75,0.06506737184246032
4.76,0.06520435578318129
4.7700000000000005,0.06534133972390227
4.78,0.06547832366462324
4.79,0.0656153076053442
4.8,0.06575229154606517
4.8100000000000005,0.06588927548678615
4.82,0.06602625942750712
4.83,0.06616324336822808
4.84,0.06630022730894905
4.8500000000000005,0.06643721124967003
4.86,0.066574195190391
4.87,0.06671117913111196
4.88,0.06684816307183293
4.89,0.06698514701255388
4.9,0.06712213095327486
4.91,0.06725911489399583
4.92,0.0673960988347168
4.93,0.06753308277543776
4.94,0.06767006671615874
4.95,0.06780705065687971
4.96,0.06794403459760068
4.97,0.06808101853832164
4.98,0.06821800247904262
4.99,0.06835498641976359
5,0.06849197036048456
5.01,0.06862895430120552
5.0200000000000005,0.0687659382419265
5.03,0.06890292218264747
5.04,0.06903990612336842
5.05,0.06917689006408939
5.0600000000000005,0.06931387400481037
5.07,0.06945085794553134
5.08,0.0695878418862523
5.09,0.06972482582697327
5.1000000000000005,0.06986180976769425
5.11,0.06999879370841522
5.12,0.07013577764913619
5.13,0.07027276158985715
5.14,0.07040974553057812
5.15,0.0705467294712991
5.16,0.07068371341202007
5.17,0.07082069735274103
5.18,0.070957681293462
5.19,0.07109466523418298
5.2,0.07123164917490393
5.21,0.0713686331156249
5.22,0.07150561705634587
5.23,0.07164260099706685
5.24,0.07177958493778781
5.25,0.07191656887850878
5.26,0.07205355281922975
5.2700000000000005,0.07219053675995073
5.28,0.0723275207006717
5.29,0.07246450464139266
5.3,0.07260148858211363
5.3100000000000005,0.07273847252283461
5.32,0.07287545646355557
5.33,0.07301244040427654
5.34,0.07314942434499751
5.3500000000000005,0.07328640828571847
5.36,0.07342339222643944
5.37,0.07356037616716041
5.38,0.07369736010788137
5.39,0.07383434404860234
5.4,0.07397132798932332
5.41,0.07410831193004429
5.42,0.07424529587076525
5.43,0.07438227981148622
5.44,0.0745192637522072
5.45,0.07465624769292817
5.46,0.07479323163364913
5.47,0.0749302155743701
5.48,0.07506719951509108
5.49,0.07520418345581205
5.5,0.07534116739653302
5.51,0.07547815133725398
5.5200000000000005,0.07561513527797495
5.53,0.07575211921869592
5.54,0.07588910315941688
5.55,0.07602608710013785
5.5600000000000005,0.07616307104085883
5.57,0.0763000549815798
5.58,0.07643703892230076
5.59,0.07657402286302173
5.6000000000000005,0.07671100680374271
5.61,0.07684799074446368
5.62,0.07698497468518464
5.63,0.07712195862590561
5.64,0.07725894256662658
5.65,0.07739592650734756
5.66,0.07753291044806852
5.67,0.07766989438878949
5.68,0.07780687832951046
5.69,0.07794386227023142
5.7,0.07808084621095239
5.71,0.07821783015167336
5.72,0.07835481409239432
5.73,0.0784917980331153
5.74,0.07862878197383627
5.75,0.07876576591455724
5.76,0.0789027498552782
5.7700000000000005,0.07903973379599918
5.78,0.07917671773672015
5.79,0.07931370167744112
5.8,0.07945068561816208
5.8100000000000005,0.07958766955888306
5.82,0.07972465349960403
5.83,0.079861637440325
5.84,0.07999862138104596
5.8500000000000005,0.08013560532176693
5.86,0.0802725892624879
5.87,0.08040957320320886
5.88,0.08054655714392983
5.89,0.0806835410846508
5.9,0.08082052502537178
5.91,0.08095750896609274
5.92,0.08109449290681371
5.93,0.08123147684753468
5.94,0.08136846078825566
5.95,0.08150544472897663
5.96,0.08164242866969759
5.97,0.08177941261041856
5.98,0.08191639655113954
5.99,0.0820533804918605
6,0.08219036443258146
6.01,0.08232734837330243
6.0200000000000005,0.0824643323140234
6.03,0.08260131625474437
6.04,0.08273830019546534
6.05,0.0828752841361863
6.0600000000000005,0.08301226807690729
6.07,0.08314925201762825
6.08,0.08328623595834922
6.09,0.08342321989907019
6.1000000000000005,0.08356020383979117
6.11,0.08369718778051213
6.12,0.0838341717212331
6.13,0.08397115566195407
6.140000000000001,0.08410813960267505
6.15,0.08424512354339601
6.16,0.08438210748411697
6.17,0.08451909142483793
6.18,0.0846560753655589
6.19,0.08479305930627988
6.2,0.08493004324700085
6.21,0.08506702718772181
6.22,0.08520401112844278
6.23,0.08534099506916376
6.24,0.08547797900988473
6.25,0.0856149629506057
6.26,0.08575194689132666
6.2700000000000005,0.08588893083204764
6.28,0.08602591477276861
6.29,0.08616289871348957
6.3,0.08629988265421054
6.3100000000000005,0.08643686659493151
6.32,0.08657385053565247
6.33,0.08671083447637344
6.34,0.08684781841709441
6.3500000000000005,0.08698480235781539
6.36,0.08712178629853636
6.37,0.08725877023925732
6.38,0.08739575417997829
6.390000000000001,0.08753273812069927
6.4,0.08766972206142024
6.41,0.0878067060021412
6.42,0.08794368994286217
6.43,0.08808067388358314
6.44,0.08821765782430412
6.45,0.08835464176502508
6.46,0.08849162570574605
6.47,0.08862860964646702
6.48,0.08876559358718798
6.49,0.08890257752790895
6.5,0.08903956146862992
6.51,0.08917654540935088
6.5200000000000005,0.08931352935007186
6.53,0.08945051329079283
6.54,0.0895874972315138
6.55,0.08972448117223476
6.5600000000000005,0.08986146511295574
6.57,0.08999844905367671
6.58,0.09013543299439768
6.59,0.09027241693511864
6.6000000000000005,0.09040940087583962
6.61,0.09054638481656059
6.62,0.09068336875728156
6.63,0.09082035269800252
6.640000000000001,0.09095733663872349
6.65,0.09109432057944446
6.66,0.09123130452016542
6.67,0.09136828846088639
6.68,0.09150527240160736
6.69,0.09164225634232834
6.7,0.0917792402830493
6.71,0.09191622422377027
6.72,0.09205320816449124
6.73,0.09219019210521222
6.74,0.09232717604593318
6.75,0.09246415998665415
