set,date,month,day,hour,day_julian,temp,airpres,ws_10m,wd_10m,ws_24m,wd_24m,hum,value,density,date_unix,weekday
training,2023-01-24T00:00:00Z,1,24,15,24,9.649999999999999,1024.85,0.903,129.5,0.827,137.800049,77.95,23.049999999999997,272.9375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,1,24,0.6499999999999999,1025.6999999999998,0.313,78.339966,0.845,257.399902,84.4,32.64,13.125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,7,24,0.15,1026.6,0.699,126.900024,0.551,99.099976,86.6,37.305,143.75,1674518400,2
training,2023-01-24T00:00:00Z,1,24,9,24,1.8,1027.1,0.338,43.01001,0.588,24.149994,86.2,56.38,147.34375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,18,24,8.5,1025.9,1.401001,212.5,2.014,212.600098,79.55000000000001,25.61,198.28125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,2,24,0.30000000000000004,1026,0.312,210.100098,0.789,290,84.7,18.28,6.09375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,14,24,9.850000000000001,1024.7,1.09,132.800049,1.806999,125.699951,77.69999999999999,19.61,146.40625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,0,24,0.9,1025.6,0.589,135.600098,0.641,211,83.7,42.32,22.40625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,19,24,8.1,1025.4499999999998,1.490999,218.300049,2.187,211.600098,80,29.665,101.625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,17,24,8.8,1025.5500000000002,1.233,276.700195,1.951,278.799805,78.94999999999999,20.66,156.90625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,3,24,0,1025.95,0.636,47.859985,0.959,321,85.2,6.19,3.75,1674518400,2
training,2023-01-24T00:00:00Z,1,24,6,24,-0.25,1027.1,0.416,0,0.589,247.300049,86.2,27.475,54.15625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,8,24,0.95,1026.6999999999998,0.823,132.100098,0.813,202.399902,86.6,57.485,198.28125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,11,24,6.2,1026.3000000000002,0.377,328.200195,0.577,204.699951,82.3,31.25,115.84375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,12,24,8.850000000000001,1026,1.417,121.699951,2.067001,124.599976,79.44999999999999,18.744999999999997,129.09375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,22,24,7.85,1024.6,0.973,236.800049,1.475,238.5,81.4,18.18,64.15625,1674518400,2
training,2023-01-24T00:00:00Z,1,24,23,24,7.9,1024.6,1.709,256.5,3.224998,252.300049,81.2,9.030000000000001,39.666666666666664,1674518400,2
training,2023-01-24T00:00:00Z,1,24,4,24,-0.2,1026.5,0.268,75.150024,0.742,248.699951,85.5,6.305000000000001,4.125,1674518400,2
training,2023-01-24T00:00:00Z,1,24,16,24,9.25,1025.25,0.629,314,0.868,301.799805,78.25,12.165,173.34375,1674518400,2
training,2023-01-24T00:00:00Z,1,24,10,24,3.5,1026.6999999999998,0.522,158.300049,1.066999,199.5,85,59.225,129.40625,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,5,24,-0.3,1026.75,0.259,223.800049,0.665,239.699951,86,23.080000000000002,16.875,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,13,24,10.3,1025.15,1.532,54.48999,1.687,55.73999,77.35,14.77,149.59821428571428,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,20,24,7.9,1024.95,1.129999,217.699951,1.879,220.600098,80.8,17.265,90.59375,1674518400,2
testing,2023-01-24T00:00:00Z,1,24,21,24,7.8,1024.75,0.976,226.100098,1.163,222,81.1,31.77,76.09375,1674518400,2
training,2023-01-25T00:00:00Z,1,25,8,25,6.4,1019.65,0.695,12.529999,1.452999,282.600098,86.30000000000001,54.995000000000005,231.90625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,2,25,5.45,1022.6500000000001,0.883,249.5,2.360001,249.399902,83.65,14.265,7.28125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,14,25,9.850000000000001,1015.65,2.487,266.299805,4.125,270.799805,80.85,19.57,193.375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,5,25,3.5999999999999996,1020.95,0.411,190.899902,0.545,354.100098,84.9,11.620000000000001,22.46875,1674604800,3
training,2023-01-25T00:00:00Z,1,25,10,25,9.4,1017.55,1.745001,252.100098,2.313,227.800049,83.30000000000001,22.77,149.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,7,25,4.25,1020.3,0.923,114.599976,1.424999,313.5,86.8,19.525,202.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,0,25,7,1023,1.200001,217.100098,1.761,219.300049,81.6,10.93,92.75,1674604800,3
training,2023-01-25T00:00:00Z,1,25,1,25,5.9,1022.85,1.146,226.5,1.899,239.300049,82.35,24.325000000000003,53.40625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,23,25,5.6,1019,1.726999,300.200195,3.903,303.299805,75.4,15.59,65.04166666666667,1674604800,3
training,2023-01-25T00:00:00Z,1,25,22,25,5.75,1018.95,2.131001,310.700195,3.554001,302.899902,74.65,10.595,91.1875,1674604800,3
training,2023-01-25T00:00:00Z,1,25,21,25,6.25,1018,2.234001,321.399902,3.929001,321.700195,73.19999999999999,17.58,125.84375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,4,25,4.15,1021.75,0.466,266,0.958,321.399902,84.65,10.855,8.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,18,25,8.2,1016.9,2.223,318.299805,2.740002,307.600098,78.55,17.32,167.75,1674604800,3
training,2023-01-25T00:00:00Z,1,25,13,25,9.6,1016.3,3.061001,275.100098,5.118004,271,81.6,15.965,209.125,1674604800,3
training,2023-01-25T00:00:00Z,1,25,19,25,7.4,1016.9,2.632999,321.5,5.055,325.600098,77.45,15.82,138.40625,1674604800,3
training,2023-01-25T00:00:00Z,1,25,12,25,9.95,1016.85,2.163002,294,3.651001,283.5,80.9,12.670000000000002,193.9375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,15,25,10.1,1015.7,2.580002,293.200195,3.730999,279.299805,79.75,9.83,152.4375,1674604800,3
training,2023-01-25T00:00:00Z,1,25,11,25,10.3,1017.8499999999999,0.587,79.109985,0.656,226.300049,80.8,11.895,181.675,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,3,25,4.7,1022.1,0.428,31.76001,0.939,240.800049,83.7,11.82,5.15625,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,6,25,3.3,1020.5,0.386,0,0.824,271.399902,85.65,25.009999999999998,67.09375,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,9,25,7.6,1018.1,1.219999,255.5,2.047001,236.399902,85.5,44.61,152.0625,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,16,25,9.75,1015.95,3.295002,297.399902,4.528999,288.5,77,17.075000000000003,151.125,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,17,25,8.65,1016.35,1.763,302.5,2.862,291.399902,78.05000000000001,13.170000000000002,141.8125,1674604800,3
testing,2023-01-25T00:00:00Z,1,25,20,25,6.65,1017.4,1.948999,310.799805,3.229,312.899902,74.75,15.275,125.71875,1674604800,3
training,2023-01-26T00:00:00Z,1,26,0,26,5.2,1018.9,1.646,295.100098,3.303001,303.200195,76.1,9.780000000000001,25.25,1674691200,4
training,2023-01-26T00:00:00Z,1,26,9,26,6.9,1021.25,2.556,349.299805,4.969002,341.700195,76.35,17.619999999999997,202.19166666666666,1674691200,4
training,2023-01-26T00:00:00Z,1,26,22,26,5.65,1020.95,1.820999,323.600098,3.303001,322.200195,74.95,13.455000000000002,73.09375,1674691200,4
training,2023-01-26T00:00:00Z,1,26,14,26,7.949999999999999,1020.75,3.348999,5.701004,5.914001,350.100098,74.55,14.844999999999999,130.875,1674691200,4
training,2023-01-26T00:00:00Z,1,26,16,26,6.95,1021.8499999999999,2.105999,360,3.199001,357.299805,78,18.075,159.5,1674691200,4
training,2023-01-26T00:00:00Z,1,26,20,26,5.85,1021.4,1.190001,340.200195,2.252998,337.399902,74.5,22,157.15625,1674691200,4
training,2023-01-26T00:00:00Z,1,26,1,26,4.95,1018.9,1.443001,307,3.140999,314.100098,76.7,15.56,13.25,1674691200,4
training,2023-01-26T00:00:00Z,1,26,10,26,7.1,1021.65,2.387001,0.8,4.357002,342,76.85,17.314999999999998,154.5,1674691200,4
training,2023-01-26T00:00:00Z,1,26,8,26,6.5,1021.3,2.750999,354,4.407997,342.600098,76.1,20.12,257.4375,1674691200,4
training,2023-01-26T00:00:00Z,1,26,21,26,5.7,1021.05,1.257,313.399902,3.055,316.899902,74.30000000000001,13.51,88.48214285714286,1674691200,4
training,2023-01-26T00:00:00Z,1,26,4,26,5.550000000000001,1019.45,1.889,347.299805,3.272999,328.799805,75.3,14.585,37.3125,1674691200,4
training,2023-01-26T00:00:00Z,1,26,2,26,4.8,1018.8,1.794001,321.700195,3.730999,321.799805,76.55000000000001,18.62,9.020833333333334,1674691200,4
training,2023-01-26T00:00:00Z,1,26,18,26,6.3,1021.6,1.403,16.459991,2.373001,1.097,71.35,27.595000000000002,176.53125,1674691200,4
training,2023-01-26T00:00:00Z,1,26,7,26,6.35,1020.95,1.774,337.200195,3.478001,330,75.5,16.585,166.0625,1674691200,4
training,2023-01-26T00:00:00Z,1,26,23,26,5.6,1020.8,2.368999,334.5,4.231003,331.799805,76.2,11.870000000000001,49.375,1674691200,4
training,2023-01-26T00:00:00Z,1,26,15,26,7.3,1021.4000000000001,2.663002,0.955,4.513,350.799805,76.69999999999999,13.100000000000001,123.21875,1674691200,4
training,2023-01-26T00:00:00Z,1,26,13,26,7.75,1020.75,3.168999,354,4.121002,358.399902,77.9,18,156.21875,1674691200,4
training,2023-01-26T00:00:00Z,1,26,11,26,7.2,1022.05,3.478001,0.929,5.535004,342.399902,78.75,16.9,111.75,1674691200,4
training,2023-01-26T00:00:00Z,1,26,6,26,6.15,1020.65,1.347,338,2.841999,334.600098,74.4,13.07,147.40625,1674691200,4
training,2023-01-26T00:00:00Z,1,26,12,26,6.9,1021.95,2.02,359.799805,3.900002,339.5,81.6,14.91,147.1875,1674691200,4
training,2023-01-26T00:00:00Z,1,26,5,26,6.1,1020.1500000000001,1.778999,331.399902,3.109001,327.799805,74.4,15.75,53.0625,1674691200,4
testing,2023-01-26T00:00:00Z,1,26,3,26,4.9,1018.85,1.014999,313.100098,3.127998,326.799805,76.4,12.16,43.34375,1674691200,4
testing,2023-01-26T00:00:00Z,1,26,17,26,6.95,1022,2.007,358.700195,2.879002,345.100098,73.25,15.465,167.21875,1674691200,4
testing,2023-01-26T00:00:00Z,1,26,19,26,6,1021.45,1.35,340.799805,2.505001,342.100098,73.7,26.915,153.40625,1674691200,4
training,2023-01-27T00:00:00Z,1,27,9,27,5.050000000000001,1020.8,1.052999,351.700195,1.829,341.600098,83.15,20.42,199.50892857142856,1674777600,5
training,2023-01-27T00:00:00Z,1,27,18,27,6.3,1020.7,0.521,286.799805,1.149,285.399902,73.9,21.89,183.40625,1674777600,5
training,2023-01-27T00:00:00Z,1,27,21,27,5.55,1020.5,0.844,217.899902,1.212999,227.899902,72.1,20.47,113.96875,1674777600,5
training,2023-01-27T00:00:00Z,1,27,22,27,5.5,1020.2,0.722,227.800049,1.233,242.800049,73.9,16.85,94.75,1674777600,5
training,2023-01-27T00:00:00Z,1,27,11,27,5.9,1021.15,1.767,359.799805,2.314999,356,80.75,16.205,129.0625,1674777600,5
training,2023-01-27T00:00:00Z,1,27,0,27,5.3,1020.4,2.446999,346.899902,3.598999,334.600098,79.7,11.370000000000001,33.125,1674777600,5
training,2023-01-27T00:00:00Z,1,27,19,27,6.1,1020.35,0.621,239.699951,1.046,237.800049,74.85,36.815,200.7375,1674777600,5
training,2023-01-27T00:00:00Z,1,27,1,27,5,1019.7,1.401001,357.600098,2.627998,340.399902,81.65,14.305,67.84375,1674777600,5
training,2023-01-27T00:00:00Z,1,27,14,27,6.7,1019.4,0.713,341.700195,1.092001,327.299805,74.6,26.425,131.59375,1674777600,5
training,2023-01-27T00:00:00Z,1,27,16,27,6.55,1019.3499999999999,1.586,12.75,2.095001,5.630997,72.25,21.8,131.96875,1674777600,5
training,2023-01-27T00:00:00Z,1,27,7,27,4.7,1020.2,1.197001,29.390014999999998,2.057999,20.399994,83.7,23.905,156.3125,1674777600,5
training,2023-01-27T00:00:00Z,1,27,8,27,4.75,1020.6,1.235001,50.349976,2.255001,40.470032,83.5,46.150000000000006,191.40625,1674777600,5
training,2023-01-27T00:00:00Z,1,27,13,27,6.55,1020.4000000000001,1.825001,27.149994,2.411999,15.320007,76.30000000000001,15.915,126.28125,1674777600,5
training,2023-01-27T00:00:00Z,1,27,5,27,4.8,1019.55,1.155001,34.97998,1.676001,21.880005,83.75,14.345,51.96875,1674777600,5
training,2023-01-27T00:00:00Z,1,27,20,27,5.75,1020.3499999999999,0.533,250.100098,1.117001,256.899902,73.8,14.115,155.96875,1674777600,5
training,2023-01-27T00:00:00Z,1,27,23,27,5.4,1019.9,0.561,236.800049,0.941,261.100098,75.8,16.67,98.79166666666667,1674777600,5
training,2023-01-27T00:00:00Z,1,27,6,27,4.7,1019.7,1.101,20.429993,1.559,0.436,83.69999999999999,12.379999999999999,76.6875,1674777600,5
training,2023-01-27T00:00:00Z,1,27,10,27,5.4,1020.7,1.593,12.339996,2.375999,11.449997,82.05000000000001,40.23,138.59375,1674777600,5
training,2023-01-27T00:00:00Z,1,27,15,27,6.7,1019.55,0.773,20.890014999999998,1.389,1.237,73.44999999999999,15.59,129.09375,1674777600,5
training,2023-01-27T00:00:00Z,1,27,3,27,5,1019.5,2.071999,13.610001,2.68,1.156,82.7,23.265,28.7875,1674777600,5
testing,2023-01-27T00:00:00Z,1,27,2,27,5,1019.55,1.559,8.339996,2.653999,353.200195,81.95,16.275,13.0625,1674777600,5
testing,2023-01-27T00:00:00Z,1,27,4,27,4.8,1019.55,1.434,33.75,2.076,23.76001,83.4,12.56,36.0625,1674777600,5
testing,2023-01-27T00:00:00Z,1,27,12,27,6.35,1020.8499999999999,1.625999,358.799805,2.518002,356.899902,77.75,19.425,125.25,1674777600,5
testing,2023-01-27T00:00:00Z,1,27,17,27,6.4,1020.45,0.368,0,0.795,16.179993,72.85,20.985,162.40625,1674777600,5
training,2023-01-28T00:00:00Z,1,28,6,28,1.9,1018.25,0.907,251.600098,1.724001,239.399902,83.44999999999999,25.955,25.96875,1674864000,6
training,2023-01-28T00:00:00Z,1,28,3,28,4.25,1018,1.597,229.399902,2.320999,224.800049,77.9,13.790000000000001,30.9375,1674864000,6
training,2023-01-28T00:00:00Z,1,28,13,28,8.8,1017.95,2.182999,299.299805,2.962002,291.399902,74.9,11.365,140.9375,1674864000,6
training,2023-01-28T00:00:00Z,1,28,21,28,7.6,1016.9,0.597,227.5,1.048,235.100098,79.30000000000001,16.985,73.90625,1674864000,6
training,2023-01-28T00:00:00Z,1,28,4,28,3,1018.3499999999999,0.933,216.899902,1.413,224.300049,79.85,10.375,17.46875,1674864000,6
training,2023-01-28T00:00:00Z,1,28,22,28,7.35,1016.5,1.952999,226.800049,2.729,231.800049,80.3,14.045,76.28125,1674864000,6
training,2023-01-28T00:00:00Z,1,28,5,28,1.9,1018.45,0.571,262.299805,1.055,247.300049,82,28.525000000000002,10.53125,1674864000,6
training,2023-01-28T00:00:00Z,1,28,15,28,8.4,1018,1.395,308.700195,2.408001,296.5,76.25,14.415000000000001,177.375,1674864000,6
training,2023-01-28T00:00:00Z,1,28,19,28,7.55,1017.4000000000001,1.226999,218.199951,1.576,223.199951,79.35,14.195,116.625,1674864000,6
training,2023-01-28T00:00:00Z,1,28,12,28,8.95,1018.6,1.951,295.299805,3.603001,303.100098,73.25,11.91,130.1875,1674864000,6
training,2023-01-28T00:00:00Z,1,28,18,28,7.75,1016.85,1.069,276,1.733,273.399902,79.05,15.425,116.53125,1674864000,6
training,2023-01-28T00:00:00Z,1,28,0,28,5.1,1019.2,1.319,239.100098,2.275002,235.899902,76.2,11.64,59.375,1674864000,6
training,2023-01-28T00:00:00Z,1,28,14,28,8.8,1018.1,1.635,321.100098,2.485001,316.100098,75.5,17.315,138.1875,1674864000,6
training,2023-01-28T00:00:00Z,1,28,17,28,7.95,1017.2,1.087,291.600098,1.603001,284.100098,78,18.22,124.125,1674864000,6
training,2023-01-28T00:00:00Z,1,28,8,28,4.15,1018.55,1.419001,298,2.532001,293.299805,81.1,19.455,71.59375,1674864000,6
training,2023-01-28T00:00:00Z,1,28,11,28,8.5,1018.65,0.809,277,1.225,260.700195,74.65,15.53,120.15625,1674864000,6
training,2023-01-28T00:00:00Z,1,28,16,28,8.2,1017.55,1.532,321.700195,3.070999,316,76.94999999999999,14.715,152.46875,1674864000,6
training,2023-01-28T00:00:00Z,1,28,7,28,3.55,1018.65,0.529,315.100098,1.250999,295.299805,82.7,12.43,40.5625,1674864000,6
training,2023-01-28T00:00:00Z,1,28,23,28,7.2,1016.8,2.623001,237.199951,3.507999,231.5,80.9,11.09,67.79166666666667,1674864000,6
training,2023-01-28T00:00:00Z,1,28,10,28,6.4,1018.95,0.917,241.399902,1.566999,253.300049,78.55,29.25,116.25,1674864000,6
training,2023-01-28T00:00:00Z,1,28,2,28,4.85,1018.65,1.26,260.899902,2.186001,264.600098,77.05,11.9,44.125,1674864000,6
training,2023-01-28T00:00:00Z,1,28,9,28,4.6,1018.0999999999999,0.769,247.699951,1.516001,263.799805,80.7,29.25,91.40625,1674864000,6
testing,2023-01-28T00:00:00Z,1,28,1,28,4.95,1018.95,1.902,248.800049,2.946999,248.199951,76.75,13.3,52.15625,1674864000,6
testing,2023-01-28T00:00:00Z,1,28,20,28,7.55,1017.8499999999999,0.785,253.699951,1.329,256.299805,79.4,16.98,97.4375,1674864000,6
training,2023-01-29T00:00:00Z,1,29,11,29,7.6,1010.2,2.280998,267.299805,4.273003,267.799805,73.15,9.67,111.9375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,17,29,8.25,1006.6,3.170002,256.600098,4.191002,251.5,77.8,13.395,102.375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,20,29,8.600000000000001,1005.5,4.649002,235.199951,6.201004,221.399902,78.15,11.200000000000001,79.5625,1674950400,7
training,2023-01-29T00:00:00Z,1,29,10,29,7.05,1011,2.543999,254.5,4.668999,254.5,75.35,15.200000000000001,90.53125,1674950400,7
training,2023-01-29T00:00:00Z,1,29,1,29,6.55,1015.85,1.690001,215.699951,2.261002,207.600098,82.75,13.46,35,1674950400,7
training,2023-01-29T00:00:00Z,1,29,6,29,6.6,1013.05,1.070999,254.399902,2.053001,251.199951,79.1,13.629999999999999,72.125,1674950400,7
training,2023-01-29T00:00:00Z,1,29,21,29,8.8,1004.8,3.542999,252.600098,5.420998,245,79.95,13.415000000000001,62.75,1674950400,7
training,2023-01-29T00:00:00Z,1,29,5,29,6.5,1013.2,1.621,265.799805,2.925999,259.899902,80.44999999999999,12.395,39.59375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,0,29,6.9,1016.4,2.299,215.300049,3.102001,204.899902,82.1,17.990000000000002,45.8125,1674950400,7
training,2023-01-29T00:00:00Z,1,29,18,29,8.649999999999999,1006.6,3.986,263,6.243004,250.699951,77.19999999999999,14.75,101.375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,14,29,8.2,1008.4000000000001,3.561001,255.899902,5.688004,250.699951,75.85,12.709999999999999,138.1875,1674950400,7
training,2023-01-29T00:00:00Z,1,29,4,29,6.15,1014.2,0.643,274.100098,1.385,266.799805,82.9,14.07,38.03125,1674950400,7
training,2023-01-29T00:00:00Z,1,29,13,29,8,1009.65,2.252998,254,3.890999,243.300049,74.55,10.75,125.9375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,2,29,6.199999999999999,1015.35,2.507,214,3.366001,204.600098,83.4,17.47,26.5625,1674950400,7
training,2023-01-29T00:00:00Z,1,29,15,29,8.1,1007.4,3.306999,229.199951,4.310997,214.5,75.95,12.47,117.46875,1674950400,7
training,2023-01-29T00:00:00Z,1,29,9,29,6.199999999999999,1011.65,2.202999,259.799805,3.333,258.5,77,12.125,92.90625,1674950400,7
training,2023-01-29T00:00:00Z,1,29,16,29,8.05,1006.7,1.711,257.399902,3.252998,252.199951,76.75,13.55,109.375,1674950400,7
training,2023-01-29T00:00:00Z,1,29,23,29,9,1005.5,2.612,292.899902,4.324997,281.200195,78.5,8.59,34.70833333333333,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,3,29,6.1,1014.6500000000001,3.255001,210.399902,4.460999,197.100098,84,11.265,27.28125,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,7,29,6.35,1012.7,2.175999,260.200195,3.018002,252.5,78.94999999999999,13.29,59.46875,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,8,29,5.85,1011.65,2.429001,258.100098,3.910999,254,77.65,11.94,32.875,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,12,29,7.800000000000001,1009.75,4.809998,257.399902,8.039993,253.199951,73.55,13.805,117.09375,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,19,29,8.45,1006.3499999999999,5.786003,244.899902,9.610001,242.199951,77.2,11.16,84.0625,1674950400,7
testing,2023-01-29T00:00:00Z,1,29,22,29,8.9,1004.8499999999999,4.116997,245.199951,5.757004,249,81.1,11.375,52.28125,1674950400,7
training,2023-01-30T00:00:00Z,1,30,4,30,6.85,1007.4,2.302002,281.200195,3.179001,277,72.94999999999999,12.775,56.96875,1675036800,1
training,2023-01-30T00:00:00Z,1,30,17,30,8.25,1012.8,2.328999,273,4.076004,262.200195,70.44999999999999,12.18,143.5,1675036800,1
training,2023-01-30T00:00:00Z,1,30,11,30,8.25,1011.1,2.811001,300.100098,4.363998,299.200195,71.3,14.61,116.64583333333333,1675036800,1
training,2023-01-30T00:00:00Z,1,30,18,30,7.6,1013,2.889999,252.399902,4.539001,255.399902,72.15,14.075,122.875,1675036800,1
training,2023-01-30T00:00:00Z,1,30,8,30,6.85,1008.9,3.459999,267,6.5,261.700195,71.75,14.115,213.2,1675036800,1
training,2023-01-30T00:00:00Z,1,30,19,30,7.3,1013.2,2.252998,265.700195,3.952999,266.5,73.6,17.03,105.28125,1675036800,1
training,2023-01-30T00:00:00Z,1,30,2,30,6.8,1006.4,2.803001,260.299805,4.093002,263,71.94999999999999,15.4,83.34375,1675036800,1
training,2023-01-30T00:00:00Z,1,30,6,30,7.25,1008.1500000000001,2.507,281.299805,3.709999,277,70.4,13.335,67,1675036800,1
training,2023-01-30T00:00:00Z,1,30,22,30,6.95,1011,2.583,255.899902,3.632999,255.600098,73.7,13.74,81.5,1675036800,1
training,2023-01-30T00:00:00Z,1,30,13,30,9.600000000000001,1011.45,3.415001,292.799805,5.072998,288.399902,66.75,12.485,132,1675036800,1
training,2023-01-30T00:00:00Z,1,30,14,30,9.850000000000001,1011.9,2.868,289.700195,5.498001,278.600098,65.85,13.775,123.71875,1675036800,1
training,2023-01-30T00:00:00Z,1,30,9,30,7.1,1009.55,2.687,267.200195,5.119003,271.5,72.80000000000001,14.285,141.28125,1675036800,1
training,2023-01-30T00:00:00Z,1,30,16,30,8.8,1012.45,3.078999,267.700195,4.889,261.899902,67.69999999999999,14.32,145.75,1675036800,1
training,2023-01-30T00:00:00Z,1,30,7,30,7.05,1008.2,3.521,266.799805,6.524002,266.100098,70.85,12.445,175.65625,1675036800,1
training,2023-01-30T00:00:00Z,1,30,1,30,7.35,1005.6500000000001,2.209999,268.600098,3.285,269.399902,73.5,14.47,20.84375,1675036800,1
training,2023-01-30T00:00:00Z,1,30,23,30,7,1010.1,1.778,204.800049,2.193001,199.800049,72.9,17.27,51.125,1675036800,1
training,2023-01-30T00:00:00Z,1,30,15,30,9.649999999999999,1011.7,3.083,288.600098,5.542999,273.100098,65,9.02,128.8125,1675036800,1
training,2023-01-30T00:00:00Z,1,30,5,30,7.15,1007.75,2.819,267.100098,5.497002,263,71.44999999999999,12.425,54.3125,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,0,30,7.7,1006,2.32,292.5,4.209,290.600098,73.2,15.350000000000001,20.96875,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,3,30,6.6,1006.85,2.469002,258.600098,4.104004,258,72.75,11.185,60.59375,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,10,30,7.7,1010.05,2.788002,278.700195,5.382004,267.399902,72.25,13.57,107.6875,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,12,30,8.85,1011.2,4.067001,307,6.790001,299.200195,69.7,13.625,131.67708333333331,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,20,30,7.25,1012.7,1.419001,264.200195,2.748001,280.799805,73.6,14.275,101.0625,1675036800,1
testing,2023-01-30T00:00:00Z,1,30,21,30,7,1012,2.165001,258.100098,3.314999,258.299805,73.94999999999999,11.71,86,1675036800,1
training,2023-01-31T00:00:00Z,1,31,11,31,9.25,1008.1500000000001,4.624001,275.100098,9.559998,272.600098,71.19999999999999,10.379999999999999,118.39583333333333,1675123200,2
training,2023-01-31T00:00:00Z,1,31,5,31,8.1,1007.2,5.037003,241.600098,6.945,235,80.9,15.335,23,1675123200,2
training,2023-01-31T00:00:00Z,1,31,13,31,9.100000000000001,1008,7.544998,280.700195,10.839996,275.100098,64.9,10.56,118.6875,1675123200,2
training,2023-01-31T00:00:00Z,1,31,16,31,8.399999999999999,1007.3,4.523003,270.399902,8.350006,263.200195,65.15,12.4,149.53125,1675123200,2
training,2023-01-31T00:00:00Z,1,31,15,31,9.25,1007.35,5.814003,272.600098,9.889999,272.299805,62.5,14.425,147.25,1675123200,2
training,2023-01-31T00:00:00Z,1,31,17,31,7.7,1006.4,4.677002,281.5,8.460007,268.200195,67.5,13.46,190.78125,1675123200,2
training,2023-01-31T00:00:00Z,1,31,1,31,6.75,1009,2.709,249.899902,3.916,227.5,75.25,11.32,51.46875,1675123200,2
training,2023-01-31T00:00:00Z,1,31,0,31,7.1,1010,4.744003,241,6.965004,233.699951,74.4,13.030000000000001,32.6875,1675123200,2
training,2023-01-31T00:00:00Z,1,31,4,31,7.75,1006.8499999999999,4.768997,227.899902,6.257004,230.800049,79.8,18.275,10.28125,1675123200,2
training,2023-01-31T00:00:00Z,1,31,8,31,9.1,1006.15,4.361,269.600098,6.705002,258.5,79.25,11.28,241.03125,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,2,31,6.65,1008.7,3.887001,227.100098,4.910004,220.800049,77.15,15.63,73.40833333333333,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,3,31,7.3,1008.25,3.136002,218.5,4.147003,210.199951,79.25,15.15,20.96875,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,6,31,8.600000000000001,1006.75,5.084999,253.100098,7.281998,249.100098,80.95,11.085,55.5625,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,7,31,8.9,1005.95,3.771,265.700195,5.775002,260.799805,80.1,13.585,145.15625,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,9,31,9,1006.75,4.144997,286.399902,6.384003,273.600098,75.1,16.065,140.1875,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,10,31,9.2,1007.3,5.388,292.5,8.580002,277.100098,72.35,13.695,168.25,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,12,31,9.55,1007.8,5.607002,262,9.75,267.200195,67.1,11.205,154.85714285714286,1675123200,2
testing,2023-01-31T00:00:00Z,1,31,14,31,8.95,1007.95,4.929001,273.700195,8.789993,273.200195,64.7,10.99,124.75,1675123200,2
training,2023-02-01T00:00:00Z,2,1,10,32,8.8,1007.1500000000001,4.137001,271.5,6.906998,259.899902,74.45,16.275,106.5,1675209600,3
